qid,vid,Start Frame,End Frame,question,answer,a0,a1,a2,a3,a4
11,S01E01,3900,4431,Why was Jerry laughing and nodding?,3,Jerry messed with Tom and made Tom embarrassed in front of Tara which made Jerry laugh,Jerry was amused when Tom wobbled after eating the jelly.,Jerry was happy that Tom was being bullied and could not chase jerry anymore.,Jerry was happy to see Tom getting scolded by Mammy Two Shoes ,because Jerry found it amusing that Tom was shivering in fright from listening to the radio
12,S01E01,3800,4169,Why was Tom trying to run?,0,To avoid being scolded and punished by Mammy Two Shoes,Tom did not want Uncle Pecos to pluck out another of Tom's whisker and leave Tom being a cat without whiskers.,Jerry hid in the glove and disguised himself to stop Tom who was running.,Tom found that his tail was scrunched up in his fur and wanted to take the tail out of the fur.,because jerry had attached the roller blinds onto Tom's suit.
13,S01E01,3482,4658,Why did Mammy Two Shoes hit Tom with the broom?,1,Mammy Two Shoes was grateful to have Tom back on mouse-catching duties.,Tom broke a flower pot in Mammy Two Shoes' house that annoyed Mammy Two Shoes,because Tom thought that Mammy Two Shoes was Jerry in disguise and wanted to catch jerry,Tom was acting like a mouse to tease Mammy Two Shoes.,Mammy Two Shoes read the medical encyclopedia and wanted to cure Tom.
14,S01E01,4600,4821,Why did Tom catch the flower pot?,1,Tom's single flower was insignificant as compared to Butch's extravagant flower wreath that Tom gave up giving the flower to Toodles.,Tom was preventing the flower pot from breaking so that Mammy Two Shoes won't scold and punish Tom again,Tom felt hopeless that Jerry stole the cheese and admitted defeat by acting dead with a flower on Tom's chest.,The potted plants were hung on the wall and the crash on the wall made the potted plants fall on Tom.,Tom was poked by Jerry which caused Tom to jump up in pain.
15,S01E01,4663,4941,Why did Tom breathe a sigh of relief?,4,Tom sighed because Tom was relieved that the baby was safe,Tom was grateful that he survived the explosion from the pot.,Tom was relieved that Tom was still alive and it just a nightmare.,Tom was relieved that he was no longer being chased by the swordfish and was safe.,Tom caught the flower pot and it did not break so Mammy Two Shoes won't scold Tom again
16,S01E01,5015,5184,Why did Jerry look scared?,0,Jerry was afraid of being chased and caught by Tom.,Jerry did not expect to see Eagle coming to snatch the sandwich from Tom.,Jerry walked over Tom and got into Tom's mouth underneath the towel.,Jerry was shocked to see Tuffy enter the house without Jerry's knowledge and to see Tuffy near the mousetrap.,Jerry realised that his cover had been blown.
17,S01E01,5015,5367,Why did Jerry slide down the lamp?,2,Jerry wanted Tom to trip on the lamp cord and crash on the glasses on the table.,Jerry switched off the lights so that Tom could not see Jerry and would not be able to shoot Jerry.,Tom started chasing Jerry again so Jerry had to run away,Jerry wanted to swing on the string to appear like a floating ghost to scare Tom.,Tom wanted to get rid of Jerry to occupy the hammock by himself.
18,S01E01,5015,5583,Why was Jerry holding the glass over the table?,0,Jerry knew Tom would be punished by Mammy Two Shoes if something broke ,Jerry wanted to steal and eat Tom's dessert.,Jerry wanted to make Tom slip and fall on the glass cups in order to get away from Tom.,Jerry wanted to trip Tom in order to get away from Tom who was giving chase.,Jerry wanted to keep Tom away by threatening to break the glass and getting Tom into trouble
19,S01E01,5015,5583,Why did Tom stop chasing Jerry?,1,"Tom did not want Jerry to fall off the table and hit the ground, so Tom ran to catch Jerry with a pillow.","If Tom continued chasing, Jerry would drop the glass and Tom would get scolded by Mammy Two Shoes again",Tom wanted to get back at Jerry for hurting Tom with the wooden cork.,Jerry wanted to approach Tom without getting noticed by Tom to scare Tom ,Tom was sneaking up on Jerry to catch Jerry off guard and stab Jerry
20,S01E01,5400,5767,Why did Tom gulp?,1,Tom realised that Tom had whacked Spike instead of Jerry after finding the dog collar.,Tom was afraid of getting scolded by Mammy Two shoes if Jerry drop the glass.,Tom was in panic to see a brick coming to Tom and opened his mouth.,Tom was uncomfortable after the 3 cats threw a goldfish into Tom's underwear.,Tom hoped that the woodpecker would stop poking him.
21,S01E01,5400,5885,Why was Tom walking away from Jerry?,0,"If Tom walked away, Jerry would not drop the glass and Mammy Two Shoes wouldn't scold Tom again","Tom did not want Jerry to fall off the table and hit the ground, so Tom ran to catch Jerry with a pillow.",Tom wanted to stop Jerry from conducting and continue Tom's conducting.,so that Tom can get back at jerry for hurting Tom with the wooden cork,Tom wanted to get back at Jerry for hurting Tom with the wooden cork.
22,S01E01,5400,6114,Why was Jerry happy?,2,Jerry was happy that Tom and Eagle were knocked out so Jerry could escape.,Jerry thought of an idea to use the roller skate to run away from Tom.,Jerry was satisfied with himself as Jerry outsmarted Tom and made Tom back off,jerry was happy that Tom forgot the persian cat and played with jerry again,Jerry was amused by imagining that Tom was chased by a dog.
23,S01E01,5400,6190,Why did Tom start chasing Jerry again?,4,Jerry wanted to warn Tom to dodge the brick by opening Tom's eyelids.,"Tom knew even if Jerry was let go, Tom would still catch Jerry so Tom let Jerry go ",Jerry wanted to approach Tom without getting noticed by Tom to scare Tom ,Tom was sneaking up on Jerry to catch Jerry off guard and stab Jerry,Tom saw Jerry put the glass down instead of dropping the glass that Jerry could not threaten Tom with the glass again.
24,S01E01,5852,6299,Why was Jerry suddenly scared?,2,Tom put Jerry over a hot fire which inflicted pain on Jerry.,Jerry was afraid of the creature the big footprint belonged to.,Jerry was afraid of being chased and caught by Tom.,jerry was surprised that Tom had actually sliced the apple which could have gotten Jerry hurt.,Jerry noticed that Tom found the pain and was about to realise that Jerry had tricked Tom.
25,S01E01,5852,6380,Why did Tom suddenly stop?,2,Tom ran into the wooden plank that Jerry and Quacker had lifted previously.,because Jerry was threatening to wake Spike up by banging a spoon and frying pan near Spike's ears.,"If Jerry dropped the glass, Mammy Two Shoes would scold Tom so Tom stopped so Jerry didn't drop the glass",Tom wanted to revive his tail that looked like an umbrella ,Tom wanted to move backwards to see if the other cat was there.
26,S01E01,6669,7048,Why did Jerry wink?,2,Jerry did not want to be caught by Tom.,Jerry wanted to dodge Tom's hand that was chasing Jerry.,Jerry was going to throw the glass off after Tom backed off ,Jerry wanted to let Tom know about his mischievous plan.,Jerry thought of an idea to prank Tom.
27,S01E01,6800,7521,Why was Tom catching everything that Jerry threw?,0,"If something broke, Mammy Two Shoes would punish and scold Tom again and Tom did not want that",Tom was hungry and wanted to catch and eat Jerry.,Tom wanted to prove that he is the better cat.,Tom threw Jerry in the air so that Jerry would land in Tom's mouth to be eaten,Tom wanted to grab Jerry to hurt Jerry.
28,S01E01,6556,7048,Why did Jerry whistle to Tom?,3,Jerry wanted to show Tom that Jerry was also living in the same house to spite Tom.,Jerry wanted Tom to serve and stop bullying Jerry.,Jerry wanted to remind Tom to share the dinner.,Jerry wanted to show Tom that the glass was falling to the ground.,Jerry called out to Lightning for help to escape Tom's clutches.
29,S01E01,6700,7603,Why was Jerry throwing things down?,0,Jerry knew Tom would catch everything to not be in trouble so Jerry messed with Tom,Jerry was running and did not look in front so Jerry accidentally ran into someone's shoes and fell down,"The plane was destroyed in half by Tom and was no longer able to fly, hence Jerry fell off.","Tom had stabbed the parasol through Jerry's beach towel, causing the beach towel to pull Jerry back and fall.",Jerry wanted the board to fall on Tom and to use the board as a ramp to ride the grater through Tom
30,S01E01,6700,7726,Why was Tom angry?,1,Tom wanted to be dancing with Toots instead of Jerry.,Jerry kept throwing down things and Tom had to catch all of it giving Tom trouble,Tom was going to harm Jerry after deciding to give up the million dollars.,Tom realised that it was jerry controlled ants to disguise as notes,Tom thought that jerry stole his milk
31,S01E01,8100,8500,Why was Jerry holding the glass over the table?,0,Jerry wanted to threaten Tom so Tom would not hurt Jerry,Jerry wanted to make Tom slip and fall on the glass cups in order to get away from Tom.,Jerry almost fell off a very high place and was scared so Jerry hugged onto the glass to feel relief,Jerry wanted to steal and eat Tom's dessert.,Jerry wanted to trip Tom in order to get away from Tom who was giving chase.
32,S01E01,7800,8911,Why was Tom excited to see the pillows?,3,Tom did not want others to see him as a bully for intentionally pushing Jerry into the hole.,Jerry wrote signs to lead Tom to sleep on the bed.,Tom wanted to get rid of the bear and chase jerry,Tom thought of placing down the pillows so that nothing Jerry threw would break,because Tom wanted to catch and attack jerry
33,S01E01,7940,8140,Why was Jerry scared?,3,Tom put Jerry over a hot fire which inflicted pain on Jerry.,Jerry was afraid of the creature the big footprint belonged to.,Jerry noticed that Tom found the pain and was about to realise that Jerry had tricked Tom.,Jerry was afraid of being chased and caught by Tom after seeing Tom appeared in front.,Jerry realised that Tom was awake and was going to catch Jerry.
34,S01E01,7940,8487,Why was Jerry shaking the glass over the edge?,2,Jerry was feeling sorry for Tom as Tom fell down multiple times.,Jerry almost fell off a very high place and was scared so Jerry hugged onto the glass to feel relief,Jerry wanted to keep Tom away by threatening to break the glass and getting Tom into trouble,Jerry knew Tom would be punished by Mammy Two Shoes if something broke ,Jerry wanted to touch Tom who was extremely hot and scalded himself.
35,S01E01,7800,8911,Why did Tom not react when Jerry tried threatening him,2,Tom was annoyed that Tom could not approach and catch Jerry as Jerry was with Spike.,Jerry used Tom's own gun to hurt Tom and Tom felt humiliated,"Tom had placed down pillows on the ground to catch the glass so even if Jerry threw the glass, the glass would not break",Tom was lazy and Tom did not want to catch Jerry.,because Tom got annoyed with jerry and Tom wanted to catch jerry
36,S01E01,8540,8885,Why did Jerry put a hand to the ear?,0,Jerry was trying to listen to see if the glass he had thrown had broken or not,Jerry was trying to sleep but Tom's singing was noisy.,Jerry was waving goodbye to Tom who got drunk and jumped away.,Jerry felt that his hat was not on his head anymore while Jerry left the hat on the toy,Jerry reached his hand out to signal to Tom to give Jerry the fly swatter
37,S01E01,8540,8885,Why was Jerry confused?,2,Jerry was running and knocked into something so Jerry looked up to see what he knocked into,Jerry did not expect a screw to screw through the wall and pin Jerry so Jerry was surprised when it happened,Jerry threw the glass down but the sound of breaking glass that Jerry anticipated was not heard,Jerry did not expect a bunch of gears to fly out of the hole and almost hit him so Jerry was surprised,Jerry realised that it was Tom who dropped Jerry on top of a marching ant army and caused Jerry to hit his head on the sprinkler.
38,S01E01,8540,8885,Why did Jerry look down?,3,Jerry saw the bow-tie and hat that Quacker had thrown onto the ground and wanted to look for Quacker to comfort Quacker.,"The plane was destroyed in half by Tom and was no longer able to fly, hence Jerry fell off.",Jerry was running and did not look in front so Jerry accidentally ran into someone's shoes and fell down,Jerry wanted to double check if the glass broke since Jerry did not hear the glass breaking,Jerry was stuck in the bubblegum and Jerry could not move so Jerry looked back to see what he was stuck in
55,S01E02,960,1210,why did jerry look out of the refrigerator?,3,Jerry was curious to find out what was happening.,The plate that Jerry was holding on to fell and Jerry did not want to fall along with it,Tom wanted to push the blame of breaking the glass to Jerry,jerry wanted to check if it is safe to steal the cheese,Jerry was curious to see what was happening after hearing the crashing noises.
56,S01E02,1150,1510,Why was Jerry wobbling?,3,Jerry was walking and suddenly walked off a ledge without knowing which surprised Jerry,Jerry became dizzy after Jerry hit himself on the head.,Jerry was frightened when Jerry saw Tom.,Jerry was trying to walk on a stalk of vegetable while carrying a huge cheese.,"Jerry was struggling to carry the heavy gun which kept tilting backwards, causing Jerry to stumble."
57,S01E02,1956,2337,why did Tom put the lamp over his head?,1,Tom thought that spike will not be able to jump up to the lamp to catch Tom,Tom wanted to trick jerry into thinking that Tom was not behind jerry ,Tom's ear was full of water after jerry sprayed Tom with the water and Tom tilted his head to empty the water out,Tom knew that Spike and the dogs could not climb the lamp and could not hurt Tom.,Tom was confident that spike would not come after Tom since spike's attention was on jerry
58,S01E02,2403,2936,why did Tom place objects on the cheese?,1,Tom was trying to lure Jerry into a trap so that Tom can eat Jerry.,Tom wanted to make it difficult for jerry to carry the weight,Tom wanted to insert the bait into the mouse hole in order to trap Jerry and bring Jerry out.,Tom wanted to shoot Jerry when Jerry got out of the hole for the cheese.,Tom wanted to lure Jerry out of the mouse hole to catch and inflict pain on Jerry.
59,S01E02,2953,3234,why did Tom stack the break in a staggered manner?,0,Tom wanted to make it more difficult for jerry to carry the cheese on the rolling pin.,Tom wanted to show Jerry that he was more powerful than Jerry by breaking a brick,"because jerry put the sack on the hydrant to trick Tom into thinking that the hydrant was the seal, causing Tom to run straight into the hydrant.",Jerry kicked Tom and made Tom lose balance which caused Tom to drop all of the plates,Tom kept hitting the floor because Tom was frustrated that he could not stop Jerry leaving
60,S01E02,3265,3648,why did Tom roll the pin near the bread?,3,Tom was pulling the rope to untie all the rope to make Jerry fall while sleeping,Tom wanted to catch Jerry so that Tom could have dinner.,Tom wanted to make sure that Tom would not get hurt by the pin when Tom was in the trash can.,Tom wanted jerry to lose his balance on the rolling pin and fall,Tom wanted to lure jerry out of the toaster to catch Jerry.
61,S01E02,4008,4185,why did jerry place the cheese back in the refrigerator?,0,Jerry knew that he had been caught stealing the cheese by Tom and wanted to put the cheese back.,Tom was chasing Jerry to get his revenge so Jerry hid in the refrigerator to avoid getting hurt by Tom,jerry was happy that he could enjoy the cheese,Jerry wanted to put his plan into action of hitting Tom on the head.,Tom was teasing jerry with the cheese since jerry cannot eat the cheese
62,S01E02,4444,4575,why did Tom step on jerry's tail?,3,Jerry wanted to inflict pain on Tom.,Tom was angry that Jerry hurt him so Tom jumped on Jerry to get revenge and hurt Jerry,Tom wanted Jerry to massage Tom's back,to prevent jerry from running off with the cheese,Jerry wanted to entertain himself by jumping on Tom
63,S01E02,4827,5087,why did Tom put the iron on jerry's tail?,1,jerry and Tom were making it seem like Tom caught jerry,Tom did not want jerry to escape while Tom was eating,Jerry was annoyed that Tom had ignored jerry.,Jerry put Tom's tail back in its original position to calm Tom down to avoid angering Tom and getting eaten by Tom.,Jerry knew that he had gotten caught escaping by Tom and decide to return to the original position.
64,S01E02,5319,5681,why did Tom tap on jerry's shoulder?,1,Jerry wanted to appear like Jerry was giving Tom a handshake to congratulate Tom before throwing Tom over Jerry's shoulder.,Tom wanted to let jerry know that jerry got caught escaping,Tom was grateful to Jerry for saving Tom from the bulldog,Tom did not want the eggs that Jerry was juggling to drop and make a mess.,Jerry wanted to run off with Quacker but Quacker ran into the hole so Jerry mistakenly grabbed Tom's hand instead.
65,S01E02,5370,5810,Why did Jerry put his tail under the iron?,2,Jerry wanted the sharp blow to cure Tom's amnesia.,Jerry wanted to stop the dog from going towards Tom and barking at Tom.,Jerry knew that he had gotten caught escaping by Tom and decide to return to the original position.,Tom and Butch were chasing Jerry so Jerry picked up the iron to make Tom and Butch run into the iron and get hurt,Tom did not want jerry to escape while Tom was eating
66,S01E02,5868,6343,why did Tom's body shake?,2,Tom fell into the water bucket and his head got wet so Tom shook his head ,Tom was shocked by Jerry's loud air horn.,the jelly was wobbling in Tom's body when Tom swallowed the jelly,Tom was trying to shake the starfish off his hands,Tom got scared after seeing Jerry on the windowsill and realised that the white mouse Tom was holding was not Jerry.
67,S01E02,5860,6400,Why was Jerry laughing?,2,Jerry was happy to see Tom getting scolded by Mammy Two Shoes ,Jerry and Tom were amused by how Tom looked botTomless after burning Tom's skin in the tub of hot water.,Jerry was amused when Tom wobbled after eating the jelly.,Tom accidentally threw a bowling ball on himself so Jerry was laughing at Tom humiliating himself,Jerry was happy to see Tom.
68,S01E02,6570,6841,why did Tom hold the cheese near jerry?,0,Tom was teasing jerry with the cheese since jerry cannot eat the cheese,Jerry wanted to steal a smaller piece of cheese after putting the huge piece of cheese back to fridge.,Tom was depressed and did not want to listen to Jerry.,Tom was annoyed at Jerry for stealing the last strawberry from Tom's mouth.,jerry was happy that he could enjoy the cheese
69,S01E02,6875,7162,why did Tom feed jerry the cream,0,Tom wanted jerry to come closer to Tom so that Tom could blow the cream onto jerry,Tom wanted to defrost and revive jerry,Jerry was threatened by Tom and did not want to be hit by Tom.,Jerry wanted to approach Tom without getting noticed by Tom to scare Tom ,Tom was annoyed at Jerry for stealing the last strawberry from Tom's mouth.
70,S01E02,7192,7290,why did Tom cover his nose?,1,Tom knew that Tom was going to be punished by the nanny.,Tom found the cheese to be smelly,Tom ate the caster oil which made Tom want to vomit,Tom accidentally broke glass by throwing the cheese and he heard the sound of glass breaking.,Tom was afraid of the explosion from the pot.
71,S01E02,7293,7434,why did Tom cover his eyes? ,1,Tom was shocked to see Jerry drinking the milk as Tom thought that Jerry was trapped.,Tom accidentally broke glass by throwing the cheese and he heard the sound of glass breaking.,Tom realised that Jerry was sleeping in the hammock that Tom was about to sleep in.,Tom was shocked when he realised that his girlfriend had disappeared.,Tom wanted to cook the goldfish to eat.
72,S01E02,7449,7702,why was Tom scared?,1,Tom wanted to take revenge on Jerry.,Tom was scared that mammy two shoes will punish Tom,Tom did not want others to see him as a bully for intentionally pushing Jerry into the hole.,Tom wanted to find and catch Jerry.,"Tom heard Jerry walking but did not hear the explosions, and feared that the traps did not work and that Jerry would steal the cheese."
73,S01E02,7761,7884,why does Tom put jerry in the fridge and hide himself?,2,Tom wanted to get rid of Jerry so that Jerry would stop disrupting Tom's plans to cook and eat Quacker.,Tom wanted to wait and catch Jerry.,Tom wanted to push the blame of breaking the glass to Jerry,Tom was chasing Jerry to get his revenge so Jerry hid in the refrigerator to avoid getting hurt by Tom,Tom wanted to defrost and revive jerry
74,S01E02,7975,8136,why does mammy two shoes stand on a stool?,4,Mammy Two Shoes was afraid of strange Tom that Mammy Two shoes wanted to get away from.,Mammy two shoes was taken aback by the mess in front of her.,Mammy Two Shoes was angry.,Mammy Two Shoes was angry at Tom for disturbing Mammy Two Shoes and wanted to chase and hit Tom.,mammy two shoes did not want the mouse to touch her
75,S01E02,8150,8700,Why was Tom chasing Jerry?,0,Tom wanted to show Mammy Two Shoes that Tom could catch Jerry.,Jerry wanted to release smoke around Tom to blind Tom.,Jerry wanted to entertain himself by jumping on Tom,Jerry wanted to lead Tom towards the hole in the floor to make Tom fall.,Tom was lazy and Tom did not want to catch Jerry.
76,S01E02,8530,8815,Why did Mammy Two Shoes fall?,1,Mammy Two Shoes wanted to hit Tom on the head to cure Tom's amnesia.,Tom had pulled the chair as Tom was tangled up on the chair while chasing Jerry.,Mammy Two Shoes wanted to get Tom out of the blinds to scold Tom.,Mammy Two Shoes was angry at Tom for disturbing Mammy Two Shoes and wanted to chase and hit Tom.,Tom was acting non-cat like.
77,S01E02,8900,9132,why did jerry jump on to the pedal of the bin?,3,Jerry dove into the box to hide from Tom,Jerry wanted to turn on the water hose so that the stream of water will blast Tom around.,Jerry wanted to jump into the bucket of water to run away from Tom.,Jerry wanted to inflict pain on Tom by hitting Tom with the bin lid.,Jerry wanted to inflict pain on Topsy to stop Topsy from chasing Jerry.
88,S01E03,1292,1656,why did jerry move slowly and cautiously?,0,Jerry did not want to be hurt and caught by the mouse trap.,Jerry wanted to stop the woodpecker from destroying his furniture.,Jerry noticed that Tom found the pain and was about to realise that Jerry had tricked Tom.,Jerry was afraid to be hit by the bowling ball that Tom threw,Jerry was afraid of being chased and caught by Tom.
89,S01E03,1728,2146,why did jerry run from the purple ball?,4,Jerry had lit a dynamite right behind Tom and did not want to get blown up by it as well so Jerry ran away,jerry got scared of Tom and jerry wanted to run away from Tom,Jerry wanted to run away from Tom to avoid being hurt by Tom.,Jerry was afraid of being caught and eaten by the young tribesman.,because jerry got scared seeing his own reflection
90,S01E03,2379,2654,why did jerry run away?,0,because jerry got scared by the doll falling down,Jerry's tail was stuck in the bubblegum and Jerry could not move so Jerry was running to try to get out,because jerry did not want to get physically hurt,There were bowling balls rolling down behind Jerry so Jerry ran to not get squashed and hurt by the bowling balls,There was a vehicle behind Jerry and Jerry did not want to get run over by the vehicle and get hurt
91,S01E03,2705,3465,why did jerry jump on the soft toy continuously?,4,Butch and Tom were going to catch Jerry and Jerry was surrounded so Jerry jumped to get out of the way and avoid getting caught,Jerry was jumping to avoid getting hurt by Tom's axe,Jerry jumped to dodge Tom and avoid getting caught and eaten by Tom,Jerry wanted to jump away from the water droplet and avoid getting wet,Jerry was entertaining himself by jumping on the soft toy.
92,S01E03,3370,3800,Why did jerry jump on Tom?,1,Tom wanted to show Mammy Two Shoes that Tom could catch Jerry.,Jerry wanted to entertain himself by jumping on Tom,Tom did not approach Jerry as Tom did not want Jerry to squirt ink over the drapes.,Tom wanted to confront Jerry for pulling Tom's whiskers.,Tom wanted to take revenge for Jerry sticking the sticker on Tom's mouth.
93,S01E03,3475,4030,why did Tom have an angry expression?,4,Jerry was disrupting Tom's performance for Toodles by throwing 2 pies at Tom.,Tom was displeased that Topsy was not following instructions to catch Jerry.,"Tom had not managed to whack Jerry, yet Tom had more food thrown at him.",Tom saw that Butch was stealing all the food and ham.,because Tom felt pain as jerry was jumping on Tom
94,S01E03,3891,4157,why did jerry paste the sticker on Tom's mouth?,3,Jerry wanted to quieten Tom's hiccups so that Tom would not be heard and caught by Mammy Two Shoes.,Tom wanted to show to Toodles that Toodles should eat Jerry like Tom.,Jerry was ridiculing Tom who was stuck behind the train barricade.,because jerry was afraid Tom would eat him up,Tom did not want the eggs that Jerry was juggling to drop and make a mess.
95,S01E03,4000,4338,why was Tom chasing jerry?,3,Jerry was taunting Tom by bringing a first aid kit which made Tom angry at Jerry,Jerry wanted to release smoke around Tom to blind Tom.,Tom wanted to pretend that Tom was hardworking to catch Jerry in front of Mammy Two Shoes.,Tom wanted to take revenge for Jerry sticking the sticker on Tom's mouth.,Jerry wanted to jump on Tom's head to make Tom's nose get stuck inside Jerry's dustbin.
96,S01E03,4217,4403,why did jerry stop Tom?,2,Tom wanted to pretend that Tom was hardworking to catch Jerry in front of Mammy Two Shoes.,so that Tom can get back at jerry for hurting Tom with the wooden cork,to distract and trick Tom by shooting the cork stopper at Tom and run away from Tom,Tom wanted to get back at Jerry for hurting Tom with the wooden cork.,Jerry used Tom's own gun to hurt Tom and Tom felt humiliated
97,S01E03,4427,4687,why did jerry sit on the wire?,2,Jerry noticed that Tom found the pain and was about to realise that Jerry had tricked Tom.,Jerry wanted to jump into the bucket of water to run away from Tom.,to cause Tom to be electrocuted when Tom tried to catch jerry,A pistol ball was shot from Tom's gun which bounced off several objects to hit Jerry.,because jerry saw Tom behind and got confused.
98,S01E03,4670,4859,why did Tom look around?,4,Tom did not expect Jerry to disappear from his hands.,"Tom heard Jerry walking but did not hear the explosions, and feared that the traps did not work and that Jerry would steal the cheese.",Tom was sleeping soundly when Jerry started kissing Tom a lot which made Tom really confused,Tom did not think that Jerry could break the huge stone in half,because Tom wanted to catch and attack jerry
99,S01E03,4738,5203,why was jerry hiding?,3,Jerry wanted Tom and Butch to run past so that Jerry could escape.,Jerry didn't want to be caught and eaten by Tom,jerry was afraid Tom would attack jerry for tricking Tom.,so that Tom cannot hurt jerry physically,Jerry noticed that Tom found the pain and was about to realise that Jerry had tricked Tom.
100,S01E03,4800,5150,Why did Tom stare at jerry?,0,Tom was showing to jerry that Tom had found jerry,Tom wanted to confront Jerry for pulling Tom's whiskers.,Tom wanted to stop Jerry from conducting and continue Tom's conducting.,Jerry tried to escape from Butch by running out the other hole but Tom was already there which surprised Jerry,Tom wanted to play tricks on Jerry after seeing Jerry carrying the piece of cheese.
101,S01E03,5012,5230,why did Tom chase jerry?,1,Tom was escaping from jerry,so that Tom can attack jerry,Tom wanted to pretend that Tom was hardworking to catch Jerry in front of Mammy Two Shoes.,Jerry wanted to approach Tom without getting noticed by Tom to scare Tom ,Tom wanted to play tricks on Jerry after seeing Jerry carrying the piece of cheese.
102,S01E03,5241,5367,why did Tom stop running ?,1,"because jerry imitated spike to bark behind Tom, causing Tom to run away.",because of the train crossing by the barricade stopped Tom from running,"Tom thought that Jerry was still in the car, and Jerry would not be able to follow Tom, hence Tom could get away from Jerry.",Tom was scared and did not want to be hit and hurt by the tongs and shovel.,Tom ran away as he did not want to be bullied by the dog.
103,S01E03,5241,5480,why did Tom get shocked?,0,because Tom was unable to catch jerry ,Tom was afriad that the grandfather clock would crash to the floor and wake Spike up.,"Tom realised that he had made Toodles, his love interest, angry.",Tom expected to win the game after the ball rolled into the hole but did not expect the ball to bounce out of the hole.,Tom did not expect to see Jerry in the room after trapping Jerry and blocking the door.
104,S01E03,5240,5503,why did Tom make faces at jerry?,1,Tom wanted to cause inconvenience to Jerry by causing Jerry to not be able to see.,Jerry was ridiculing Tom who was stuck behind the train barricade.,Tom was annoyed at Jerry as Jerry rolled his eyes at Tom.,Tom was showing to jerry that Tom had found jerry,Tom wanted to stop Jerry controlling the hammers and disturbing the performance.
