qid,vid,Start Frame,End Frame,question,answer,a0,a1,a2,a3,a4
11,S01E01,3900,4431,Why was Jerry laughing and nodding?,0,Jerry was happy,Tom was being embarrassed ,Jerry saw Tom eating the Jelly.,Jerry was rejecting Uncle Pecos.,Jerry wanted to signal to Nipper.
12,S01E01,3800,4169,Why was Tom trying to run?,0,Tom's tail was caught by a broom,because tom was pulled back by the roller blinds.,The yellow glove signalled Tom to stop running.,Tom wanted to take his tail out of the fur.,Tom was trying to get away from Jerry and Uncle Pecos.
13,S01E01,3482,4658,Why did Mammy Two Shoes hit Tom with the broom?,3,because tom thought it was jerry moving with a white cloth over him,Mammy Two Shoes was glad to see Tom.,Mammy Two Shoes wanted to cure Tom's amnesia by giving Tom a sharp blow.,Mammy Two Shoes was angry at Tom,Tom wanted to make Mammy Two Shoes fall.
14,S01E01,4600,4821,Why did Tom catch the flower pot?,1,Tom ran into the wall and the potted plants fell on Tom's head.,So that the flower pot would not break,The flower petals and stem fell off and dropped.,Tom was acting dead by putting a flower on his chest.,Tom was in pain.
15,S01E01,4663,4941,Why did Tom breathe a sigh of relief?,0,Tom managed to catch the flower pot,Tom saw that the swordfish was stuck.,Tom realised that Tom was not in hell.,Tom was relieved,Tom found that only part of his tail disappeared.
16,S01E01,5015,5184,Why did Jerry look scared?,4,Jerry saw Tuffy.,Jerry saw Eagle flying towards Jerry.,Jerry suddenly fell into a hole while walking.,Jerry realised that Tom was holding on to Jerry's tribal skirt.,Tom was back to chasing Jerry
17,S01E01,5015,5367,Why did Jerry slide down the lamp?,3,Jerry wanted to hang the string across the room to swing on.,Jerry wanted the room to be dark.,Tom took off the hook and made Jerry slide off the hammock and into the water.,To run away from Tom,Jerry wanted to trip Tom with the lamp cord.
18,S01E01,5015,5583,Why was Jerry holding the glass over the table?,0,Jerry wanted to threaten to break the glass to stop Tom chasing Jerry,Jerry wanted Tom to trip on the glass bottles.,Jerry was knocked out.,Jerry saw Tom chasing after him,Jerry was trying to catch the baby who was flying into the house.
19,S01E01,5015,5583,Why did Tom stop chasing Jerry?,1,Tom wanted to cushion Jerry's fall with a pillow.,Jerry was threatening Tom,Tom did not want Jerry to notice Tom,Tom wanted to catch and attack Jerry.,jerry wanted to approach tom before jerry started barking
20,S01E01,5400,5767,Why did Tom gulp?,0,Tom was scared,Tom found the dog collar of Spike.,Tom wanted to drown the woodpecker.,Tom opened his mouth when the brick coming to him.,The water was salty.
21,S01E01,5400,5885,Why was Tom walking away from Jerry?,0,Tom did not want Jerry to drop the glass,Tom wanted to cushion Jerry's fall with a pillow.,Tom wanted to put Jerry inside Tom's suit., because tom heard the sound beneath toms feet,To make Tom slip and fall
22,S01E01,5400,6114,Why was Jerry happy?,3,Jerry saw roller skates.,Jerry was happy that Tom and Eagle were knocked out.,Jerry saw the dog on magazine.,Jerry made Tom stop chasing Tom,jerry was happy to be chased by tom
23,S01E01,5400,6190,Why did Tom start chasing Jerry again?,0,Jerry was no longer threatening Tom,jerry wanted to approach tom before jerry started barking,Jerry wanted to open Tom's eyelids to let Tom see the brick before the brick reached.,To play with Jerry,Tom did not want Jerry to notice Tom
24,S01E01,5852,6299,Why was Jerry suddenly scared?,3,tom cut the apple on jerry's head in half,Jerry wanted to run away from Tom.,Jerry was in pain from the heat.,Tom was suddenly running towards Jerry,Jerry realised that Tom had helped Jerry in tying the knot.
25,S01E01,5852,6380,Why did Tom suddenly stop?,2,because tom got shocked at the sight infront of him,Tom saw another cat walking by.,Jerry had a glass over the table,Tom's tail became like an umbrella.,Tom ran into the wooden plank.
26,S01E01,6669,7048,Why did Jerry wink?,1,Jerry wanted to hide.,Jerry was going to throw the glass off,Jerry saw Tom drinking milk like a baby.,One of Jerry's feet was flattened.,Jerry gave Tom a bomb instead of a ball.
27,S01E01,6800,7521,Why was Tom catching everything that Jerry threw?,1,To eat Jerry,Tom did not want Mammy Two Shoes to punish him again,Tom wanted to show Mammy Two Shoes that he caught Jerry.,Tom caught Jerry.,Tom wanted take Jerry out of the house.
28,S01E01,6556,7048,Why did Jerry whistle to Tom?,1,Tom was trying to show Lightning an example of hitting mice.,Jerry was trying to catch Tom's attention,Jerry was calling out to Lightning.,Jerry wanted to test if the outfit works.,because jerry wanted to attract tyke
29,S01E01,6700,7603,Why was Jerry throwing things down?,3,"Jerry's beach towel was caught by the parasol, pulling Jerry back and causing Jerry to fall.",Jerry wanted to hit tom with the board,Jerry knocked into someone,Jerry was trying to mess with Tom,tom shot down the plane with firecrackers.
30,S01E01,6700,7726,Why was Tom angry?,0,Jerry made trouble for Tom,tom realised tom was tricked by jerry,Tom was upset that Jerry was dancing with Toots.,tom noticed that the milk disappeared,Tom wanted to catch and inflict pain on Jerry.
31,S01E01,8100,8500,Why was Jerry holding the glass over the table?,0,To threaten Tom,Jerry wanted Tom to trip on the glass bottles.,Jerry was scared,Jerry wanted to use the tablecloth to pass the dessert.,Jerry saw Tom chasing after him
32,S01E01,7800,8911,Why was Tom excited to see the pillows?,1,Tom saw some signs to lead Tom to the bed.,Tom thought of an idea ,to find jerry,Tom wanted to push Jerry into the hole without being seen.,tom wanted to trap the bear in the folding couch
33,S01E01,7940,8140,Why was Jerry scared?,2,Jerry realised that Tom had helped Jerry in tying the knot.,Jerry wanted to run away from Tom.,Tom appeared in front of Jerry,Jerry was in pain from the heat.,Jerry was dizzy.
34,S01E01,7940,8487,Why was Jerry shaking the glass over the edge?,2,Jerry was scared,Jerry was feeling sorry for Tom.,To try to scare Tom,Jerry was rejecting Uncle Pecos.,Jerry's finger was in pain.
35,S01E01,7800,8911,Why did Tom not react when Jerry tried threatening him,1,Tom wanted to continue playing the piano and Jerry wanted to continue dancing.,Tom knew the glass would not break,Jerry hurt Tom,Jerry was taunting Tom while standing on Spike.,Tom did not intend to catch Jerry as Tom was relaxing.
36,S01E01,8540,8885,Why did Jerry put a hand to the ear?,2,Jerry realised his hat was missing,Tom's singing was noisy.,Jerry wanted to hear the breaking sound of the glass,Jerry wanted to say goodbye to Tom.,because jerry was trying to quieten down Quacker
37,S01E01,8540,8885,Why was Jerry confused?,0,Jerry did not hear the glass breaking,Jerry did not expect to be pinned by the screw,Jerry bumped his head on a steel sprinkler.,Jerry wanted to see what he ran into,Jerry did not expect gears to come out from the hole
38,S01E01,8540,8885,Why did Jerry look down?,4,tom shot down the plane with firecrackers.,Jerry was looking for Quacker who had disappeared.,Jerry was curious why he could not move,Jerry knocked into someone,Jerry was looking for the glass he had thrown.
55,S01E02,960,1210,why did jerry look out of the refrigerator?,0,jerry was trying to see if there was anyone outside,tom wanted mammy two shoes to open the fridge and find jerry,Jerry heard Spike's scream.,Jerry heard the loud crashing noises.,To avoid falling down
56,S01E02,1150,1510,Why was Jerry wobbling?,4,Jerry wanted to get close to the telephone to make a call.,Jerry was terrified., The cats paw kept hitting Jerry as Jerry tried to escape.,Jerry did not expect a drop ,Jerry's steps were unstable.
57,S01E02,1956,2337,why did tom put the lamp over his head?,3,"Tom saw Toodles, a beautiful female cat.",Tom wanted to empty the water inside his ear.,tom saw spike trying to catch jerry,tom wanted to hide his face,because tom wanted to make a hat
58,S01E02,2403,2936,why did tom place objects on the cheese?,1,Tom wanted to lure Jerry out of the mouse hole.,so that jerry will be carrying more weight,Tom was attaching the cheese to the fishing line as bait.,Tom was making Jerry chase after the cheese.,Tom wanted to cover all but one holes in the cheese.
59,S01E02,2953,3234,why did tom stack the break in a staggered manner?,3,because tom bumped into the hydrant,Tom wanted to show Jerry that he could break a brick,Jerry had kicked Tom,tom wanted jerry to use the bread as steps to the top of the rolling pin.,Tom was frustrated
60,S01E02,3265,3648,why did tom roll the pin near the bread?,4,tom wanted to switch on the toaster knowing that jerry is inside,Tom was trying to untie all the rope,Tom wanted to see if the pin would hurt him while Tom was in a trashcan.,Tom wanted to lasso Jerry.,tom wanted jerry to stand on the pin once he reached the highest bread
61,S01E02,4008,4185,why did jerry place the cheese back in the refrigerator?,4,Jerry wanted to hide,Jerry was reaching into the fridge to steal food.,To trick Tom into walking into his own trap,tom wanted jerry to smell the cheese,jerry wanted to put the cheese back in the original place
62,S01E02,4444,4575,why did tom step on jerry's tail?,4,Jerry thought Jerry was jumping on the toy instead of Tom.,Jerry wanted Tom to bite his own tail.,Jerry ate the cake and went back to the hole.,Tom caught Jerry.,to trap jerry 
63,S01E02,4827,5087,why did tom put the iron on jerry's tail?,2,Jerry put Tom's tail back in its original position to calm Tom down,Jerry was trapping himself under the iron.,to hold jerry on the table  ,Jerry wanted Tom's attention.,jerry wanted to let tom know where he is
64,S01E02,5319,5681,why did tom tap on jerry's shoulder?,1,Jerry wanted to throw Tom over Jerry's shoulder.,Tom wanted to get Jerry's attention.,Tom wanted to thank Jerry,Jerry mistook Tom for Quacker when Jerry wanted to grab Quacker's hand.,Tom wanted to catch the eggs that Jerry was juggling.
65,S01E02,5370,5810,Why did Jerry put his tail under the iron?,4,Jerry was pulling the dog backwards.,Jerry wanted to hurt Tom and Butch,Jerry wanted the iron to hit Tom on the head.,to hold jerry on the table  ,Jerry was trapping himself under the iron.
66,S01E02,5868,6343,why did tom's body shake?,3,Tom was denying that Tom was sleeping., Tom realised that he put on a radish instead of Toms nose.,Tom's head was wet,because tom ate the jelly,Tom was telling Spike not to peek into the dog house.
67,S01E02,5860,6400,Why was Jerry laughing?,3,Tom humiliated himself,Jerry saw Tom.,Jerry and the bird were amused.,Jerry saw Tom eating the Jelly.,Tom and Jerry were drunk.
68,S01E02,6570,6841,why did tom hold the cheese near jerry?,4,Tom was rejecting Jerry's pleas.,Jerry was happy.,Jerry wanted to run away with the small piece of cheese from Tom.,Tom wanted to trap Jerry in the dish.,tom wanted jerry to smell the cheese
69,S01E02,6875,7162,why did tom feed jerry the cream,2,tom wanted to warm jerry with hot soup,Jerry became Tom's slave.,tom wanted jerry to eat the cream,Tom wanted to trap Jerry in the dish.,jerry wanted to approach tom before jerry started barking
70,S01E02,7192,7290,why did tom cover his nose?,3,The nanny was scolding Tom.,Tom heard plates crashing., A train was approaching Tom.,tom smelt the cheese,Tom braced for the explosion.
71,S01E02,7293,7434,why did tom cover his eyes? ,3,Tom was shocked.,Tom suddenly thought of the goldfish.,Tom heard snoring from the hammock.,Tom heard plates crashing.,Tom saw a straw in the milk bowl.
72,S01E02,7449,7702,why was tom scared?,0,tom saw Mammy Two Shoes coming down the stairs,Tom wanted to push Jerry into the hole without being seen.,Tom wanted to steal a chicken drumstick.,Tom did not hear the explosions.,Tom saw the kitchen in a mess.
73,S01E02,7761,7884,why does tom put jerry in the fridge and hide himself?,2,Jerry wanted to hide,Tom was waiting outside Jerry's house for Jerry.,tom wanted mammy two shoes to open the fridge and find jerry,tom wanted to warm jerry with hot soup,Tom wanted to trap Jerry in several containers and throw Jerry down the well.
74,S01E02,7975,8136,why does mammy two shoes stand on a stool?,0,mammy two shoes was scared,Mammy Two Shoes was chasing after Tom who ran down the stairs.,Mammy two shoes was shocked.,Mammy Two Shoes saw the mess and heard the loud noises.,Mammy Two Shoes wanted to stay high to get away from Tom.
75,S01E02,8150,8700,Why was Tom chasing Jerry?,3,Tom did not intend to catch Jerry as Tom was relaxing.,Jerry was marching in front of Tom to get Tom to follow Jerry.,Jerry wanted to release smoke around Tom's head.,Tom wanted to catch Jerry.,Jerry thought Jerry was jumping on the toy instead of Tom.
76,S01E02,8530,8815,Why did Mammy Two Shoes fall?,2,Mammy Two Shoes was creeping up onto Tom quietly.,Mammy Two Shoes wanted to get away from Tom.,Tom had pulled the chair that Mammy Two Shoes was standing on.,Mammy Two Shoes was chasing after Tom who ran down the stairs.,Mammy Two Shoes was trying to get Tom out of the blinds.
77,S01E02,8900,9132,why did jerry jump on to the pedal of the bin?,3,Jerry was running from Tom,Jerry saw a bucket of water below,Jerry was turning on the water hose.,jerry wanted to open the lid of the bin,Jerry wanted Topsy to run into the bin lid.
88,S01E03,1292,1656,why did jerry move slowly and cautiously?,2,Tom was suddenly running towards Jerry,The woodpecker was chipping Jerry's furnitures.,because jerry wanted to avoid the mouse trap,Tom threw a bowling ball at Jerry,Jerry wanted to run away from Tom.
89,S01E03,1728,2146,why did jerry run from the purple ball?,0,because jerry saw something moving,because jerry saw tom,Jerry wanted to run away from the young tribesman.,tom made a scary face to scare jerry,Jerry wanted to avoid getting hurt
90,S01E03,2379,2654,why did jerry run away?,2,Jerry did not want to get hurt," The pistol ball bounced on Jerrys head, pushing him into the ground.",Jerry got scared and wanted to run away from the doll,Jerry saw a shadow on the ground.,Jerry was trying to get out of being stuck
91,S01E03,2705,3465,why did jerry jump on the soft toy continuously?,4,Jerry jumped to avoid getting caught,Jerry saw a water droplet dropping above him,Jerry saw Tom chasing after him,Jerry saw Tom swinging the axe at him,Jerry was excited
92,S01E03,3370,3800,Why did jerry jump on Tom?,3,Jerry wanted to land with parachute.,Jerry threatened to squirt ink over the drapes.,Tom wanted to confront Jerry.,Jerry thought Jerry was jumping on the toy instead of Tom.,Jerry was begging Tom not to press the airhorn.
93,S01E03,3475,4030,why did tom have an angry expression?,1, The woodpecker kept hitting Toms head.,because jerry jumped on tom,Topsy was poking Tom., Tom was hurt by Toots words., because tom was disappointed that tom did not find anything in toms mailbox
94,S01E03,3891,4157,why did jerry paste the sticker on tom's mouth?,0,because tom opened his mouth wide and jerry got scared,Jerry wanted Tom to keep quiet.,Tom wanted to catch the eggs that Jerry was juggling.,Tom wanted to eat Jerry.,Jerry was teasing Tom.
95,S01E03,4000,4338,why was tom chasing jerry?,0,because tom wanted to catch jerry,Jerry wanted to release smoke around Tom's head.,Jerry wanted to jump on Tom's head.,Tom saw Jerry running away.,Tom was angry at Jerry
96,S01E03,4217,4403,why did jerry stop tom?,3,because tom saw a female cat.,Jerry hurt Tom,Tom pointed at Toms head.,to shoot the cork stopper at tom,Tom saw Jerry running away.
97,S01E03,4427,4687,why did jerry sit on the wire?,3,because jerry wanted to check if tom was still in front,Jerry wanted to run away from Tom.,"The pistol ball bounced on Jerry's head, pushing him into the ground.",to make tom touch the wire,Jerry saw a bucket of water below
98,S01E03,4670,4859,why did tom look around?,4,Jerry started kissing Tom.,Tom realised that he took a bite of nothing.,Jerry brought out a huge stone,Tom did not hear the explosions.,to find jerry
99,S01E03,4738,5203,why was jerry hiding?,1,Jerry got scared and wanted to run away from the doll,because jerry did not want to be caught by tom,The fire burned the string that was around Jerry.,because jerry tricked tom,Jerry saw Tom after Tom picked up the flowerpot
100,S01E03,4800,5150,Why did tom stare at jerry?,3,Tom wanted to put Jerry inside Tom's suit.,Tom wanted to play tricks on Jerry.,Tom wanted to confront Jerry.,Tom was staring at jerry after tom found jerry hiding behind the soldier toy.,Tom was outside the hole that Jerry tried to escape out of
101,S01E03,5012,5230,why did tom chase jerry?,2,Tom saw Jerry running away.,Tom wanted to play tricks on Jerry.,to catch jerry,jerry wanted to approach tom before jerry started barking,tom became very small in size
102,S01E03,5241,5367,why did tom stop running ?,2,Tom was trying to run away from the dog.,because tom was afraid of spike and tom heard the barking noises.,tom had to stop because of the barricade,Tom was being chased by the tongs and shovel.,Tom wanted to get home fast.
103,S01E03,5241,5480,why did tom get shocked?,4,Tom heard Jerry snoring and saw Jerry on the bed.,Tom realised that he had spat water into Toodles' face.,Tom saw Jerry tilting a grandfather clock.,Tom saw the ball bounce out of the hole after falling in.,because jerry escaped on the train
104,S01E03,5240,5503,why did tom make faces at jerry?,1,Tom wanted to knock Jerry out.,Jerry was teasing Tom.,Tom was staring at jerry after tom found jerry hiding behind the soldier toy.,Tom was annoyed at Jerry.,Tom wanted the soda cap to be stuck on Jerry's head.
105,S01E03,5429,5598,why did jerry run away?,0,to not get caught by tom," The pistol ball bounced on Jerrys head, pushing him into the ground.",Jerry saw a shadow on the ground.,Jerry saw Tom trapped Cuckoo inside the pot.,Jerry saw a piece of cheese outside the mousehole.
106,S01E03,5601,6106,why did tom stop running ?,1,Tom was being chased by the tongs and shovel.,because tom saw something on his path which started moving,Tom was trying to run away from the dog.,Tom was running away from the vacuum cleaner he thought was a ghost.,Tom ran away to hide in the vase.
107,S01E03,6140,6282,why did tom smile at the gift box?,4,Tom was relieved.,Tom saw the broomstick and thought of an idea.,tom enjoyed the smell of steak,tom entered back in the house,the box was moving and tom thought jerry was inside the box
108,S01E03,6140,6372,why did tom fall?,0,The boxing glove hit Tom.,a tomato hit tom's face ,because tom pulled the tail of himself in the coat,Tom was annoyed.,Tom slipped and fell off the building.
109,S01E03,6513,6877,why did jerry point the flower at tom?,4,Jerry wanted the fan to blow at Tom who was in a bird costume.,Tom heard Mammy Two Shoes' voice.,Tom wanted to catch Jerry.,Tom saw Jerry running away.,Jerry wanted to appear to be giving the flower to Tom.
110,S01E03,6802,7515,why did tom smile?,4,tom was mixing chemicals into the bowl of milk,Tom saw Jerry.,Tom found that the part he applied vanishing cream onto became invisible.,Toodles had blown Tom a kiss.,Tom was happy and shy.
121,S01E04,692,1659,why was tom shaking?,0,because tom was scared,Tom wanted to shake the dog off.,Tom was having fun with the sound he made while shaking the can,Tom saw an astronaut doing a spacewalk and waved to the astronaut.,Tom's head was wet
122,S01E04,1670,2588,why was jerry laughing?,4,Jerry saw Tom.,jerry was delighted after seeing the spring of the mousetrap coming down slowly.,Tom humiliated himself,Jerry was happy that the fairy godmother used the magic to help Jerry.,because jerry was ridiculing tom
123,S01E04,2390,2730,Why did Tom run away?,4,tom wanted to open his hand to check what he grabbed,Tom wanted to find Jerry and the pup.,Tom saw St. Bernard.,Tom wanted to get away from meathead.,Tom ran away to hide in the vase.
124,S01E04,2590,2842,why was tom heave a sigh?,3,Jerry had a glass over the table,Tom felt uncomfortable.,Tom realised that Jerry was in front of him,because Tom was relieved.,Jerry used the ink bottle to threaten Tom to walk away.
125,S01E04,2590,3232,why did jerry tiptoe?,2,Jerry wanted to walk out to see why the hole became big.,Jerry was choosing one cat from a cage of cats.,because jerry wanted move without getting noticed by tom,Jerry was shocked.,Jerry was rejecting Uncle Pecos.
126,S01E04,3232,3690,why did tom run?,0,because tom heard something move,Tom was running away from the vacuum cleaner he thought was a ghost.,Tom was trying to run away from the dog.,Tom wanted to run away from the tribesman.,Tom was being chased by the tongs and shovel.
127,S01E04,3760,4224,why did jerry turn the knob in the pipe?,0,because jerry wanted to let out the hot water ,jerry wanted the firecrackers to follow him in the hose,Jerry wanted to activate Mechano.,Jerry was trying to get away from Tom by jumping down the pipe.,jerry was trying to find tom
128,S01E04,3760,4224,Why was Tom in the air?,0,tom was shot up by the water,Tom wanted to approach the window,because tom smelled something and saw black smock,Tom jumped in pain.,Tom went crazy and flew out of the castle.
129,S01E04,4260,4430,why was tom panting?,3,Tom wanted to test whether the dog repellent spray works.,Tom's toes were swelling.,Tom was afraid of being punished by Mammy Two Shoes.,because tom was tired from running,Tom was staring at a picture of Toodles.
130,S01E04,4440,5420,Why did Jerry turn on the vacuum cleaner?,4,Jerry wanted Lightning to run under the carpet.,Tom turned Jerry with one finger.,Jerry looked around and did not see Tom.,jerry wanted the firecrackers to follow him in the hose,Jerry wanted to scare Tom.
131,S01E04,4370,5260,Why was Tom sweating?,0,Tom was scared.,Tom was worried.,Tom was feeling cold.,Tom saw the kitchen in a mess.,because tom smelled something and saw black smock
132,S01E04,4370,5420,Why did Tom fall to the ground?,3,Tom was afraid of Merlin and wanted to keep away from Merlin.,Tom slipped and fell off the building.,Tom felt disgruntled.,Tom fainted.,Tom wanted to stop himself.
133,S01E04,5420,6039,Why did Jerry use the spray bottle?,0,Jerry wanted to use the spray bottle to spray water at Tom.,Tom wanted Jerry to lose balance and drop down,jerry wanted to be strong again,jerry wanted the corks of the bottles to fly out,Jerry wanted to pretend to be a statue.
134,S01E04,6390,6981,why was tom running?,0,Tom wanted to run away from the vacuum cleaner,Tom ran away to hide in the vase.,Tom was being chased by the tongs and shovel.,Tom wanted to get the parcel that was delivered,Tom wanted to get home fast.
135,S01E04,6160,6915,Why did Tom grab onto the telephone?,2,tom wanted to make a call,Tom was calling the mouse exterminator,Tom was trying not to fly backwards towards the vacuum cleaner.,because tom was swinging with the wire and tom hit the telephone pole,because jerry pushed tom out of the ship using a stick
136,S01E04,6915,7292,Why did Tom jump up?,2,Tom blocked the airflow of the jetpack.,Tom saw Spike was dragged by Tom's fishing hook.,Tom was in pain.,Tom thought that Tom was shot by the gun.,Tom was shocked.
137,S01E04,7292,7560,Why was Tom running away?,4,Jerry used the ink bottle to threaten Tom to walk away.,Tom was trying to catch up to the truck,Spike was chasing after Tom and the bone.,Tom saw St. Bernard.,Tom was running away from the vacuum cleaner he thought was a ghost.
138,S01E04,7715,8015,Why was Tom smirking?,0,Tom saw Jerry operating the vacuum cleaner.,Tom was relieved.,Tom had thought of a plan to get Jerry from Eagle.,Tom thought of an idea to catch Jerry,Tom had caught Jerry.
139,S01E04,7547,8962,why did jerry go to the front and check?,4,Jerry saw the shark eat Tom,Jerry knew that Tom and Butch were about to be thrown out of the house.," The pistol ball bounced on Jerrys head, pushing him into the ground.",Tom turned Jerry with one finger.,because jerry wanted to check if tom was still in front
140,S01E04,7292,8530,Why did Jerry gulp?,4,Jerry wanted to inflict pain on Tom and distract Tom.,Jerry was trying to spit out Tom's fur,Jerry was shocked that he was sent back to Tom by the rolling ball.,Jerry wanted to pretend to be a statue.,Jerry was nervous.
141,S01E04,9125,9500,why did tom chase jerry?,1,Tom wanted to play tricks on Jerry.,because tom wanted to catch jerry,tom became very small in size,Jerry was marching in front of Tom to get Tom to follow Jerry.,There were dogs chasing Tom.
151,S01E05,592,845,why did tom pull the tablecloth?,1,so that jerry can't see tom,so that jerry will run on the same spot,Tom wanted to use the curtain to throw over Jerry.,Tom was frustrated.,Tom was preparing to have a meal.
152,S01E05,877,1108,why did tom run underneath the table?,0,so that jerry can't see tom,Tom was frustrated.,because tom heard something move,so that jerry will run on the same spot,Tom was chasing Jerry.
153,S01E05,1057,1169,why did jerry hold on to tom's whiskers?,2,tom was hiding jerry.,Tom wanted to trap Jerry on the blinds.,jerry tried to swing himself back out from tom's mouth by holding the whiskers,because there was a drop of milk dripping from tom's whisker,Jerry wanted Tom to release Quacker in his hand.
154,S01E05,1293,1547,why did tom knock outside the mouse hole and wait for jerry?,1,Jerry saw Tom approaching.,Tom wanted Jerry to answer the knocking and come out of the mouse hole.,Jerry saw cats coming towards him.,Tom wanted to knock Jerry out.,Jerry threatened to squirt ink over the drapes.
155,S01E05,2010,2887,why did jerry move tom's tail?,2,Jerry wanted to lift up Tom with Tom's tail in the blinds.,Quacker and Jerry were pumping Tom's tail to help Tom spit out the water he swallowed.,jerry wanted to put tom's tail on the mouse trap,Jerry and Tuffy wanted to throw Tom.,Jerry was drying off with Tom's tail
156,S01E05,2639,3033,Why was Jerry running?,1,Jerry saw Tom trapped Cuckoo inside the pot.,Jerry was running away from Tom.,Tom hit a ball which was going towards Jerry.,Jerry saw a car throw a sack into the river.,Jerry got scared and wanted to run away from the doll
157,S01E05,3005,3072,why did jerry stop himself from running out of the door?,3,Jerry wanted to keep Tom out of the mouse hole.,Jerry wanted to do the same to Tom who had slammed the door on Jerry.,Jerry wanted to hit Tom with the door.,spike was sleeping at the entrance of the door,Jerry heard Spike's scream.
158,S01E05,2975,3244,why did tom hit spike?,0,tom was chasing jerry and was running towards the door,Spike wanted to catch Tom.,Tom wanted to hide from Spike.,Tom wanted to hide behind Spike.,Tom stepped on the rake and caused the rake to hit Tom.
159,S01E05,3120,3590,Why was Spike chasing Tom?,0,Spike wanted to catch Tom.,tom was chasing jerry and was running towards the door,Tom was mocking Spike by inflicting pain on Spike.,Tom wanted to enter the garden.,Spike realised that he was carrying Tom and not Tyke.
160,S01E05,3409,3537,Why was Jerry tiptoeing?,1,Jerry was choosing one cat from a cage of cats.,jerry did not want anyone to hear him,Jerry was rejecting Uncle Pecos.,Jerry was shocked.,Jerry was dismayed to see Tom.
161,S01E05,3600,3764,why did tom climb the lamp?,4,Tom saw Jerry hanging from the rope above,tom saw spike trying to catch jerry,tom wanted to hide his face,because tom did not want the the light bulb to break on the ground.,tom wanted to escape from spike
162,S01E05,3776,4108,why did spike start to chase jerry?,2,Jerry wanted to ask Spike for help.,because jerry wanted to hide in spike's mouth,spike saw jerry laughing at tom's misfortune ,Spike wanted to separate Tom and Jerry who were fighting.,Jerry wanted to anger Spike.
163,S01E05,4129,4409,why did spike fail to catch jerry?,1,Jerry wanted to hide in Spike's mouth.,jerry ran into a cuckoo clock that pops in and out with jerry hanging on it,"Spike let Jerry know that whenever Jerry was in trouble, Jerry could ring the bell.",Jerry wanted to anger Spike., Jerry wanted to lure Tom into Spikes house.
164,S01E05,4421,4641,why did tom slide down the lamp?,0,tom saw spike trying to catch jerry,because the pole was greasy,tom wanted to hide his face,because tom did not want the the light bulb to break on the ground.,because tom wanted to make a hat
165,S01E05,4643,4747,why did tom jump up?,0,tom saw spike running towards tom,Tom was in pain.,Tom blocked the airflow of the jetpack.,Tom thought that Tom was shot by the gun.,Tom saw the fire below catching up
166,S01E05,4758,4953,why did jerry slide down the clock?,1,Jerry wanted to hide.,jerry saw spike trying to catch tom,Jerry was shocked to see Tom coming towards him.,Jerry saw a bucket of water below,Jerry was excited
167,S01E05,4954,5042,why did jerry go up the clock?,1,Jerry sneezed and the force made him to fly to the cuckoo clock.,Jerry tried to escape from Spike.,Jerry wanted to hide.,Jerry was shocked to see his reflection.,Jerry saw Tom.
