QID,Filename,Start Frame,End Frame,Question,Answer,Explanation
32,S01E01,7800,8911,Why was Tom excited to see the pillows?,Tom thought of an idea ,Tom thought of placing down the pillows so that nothing Jerry threw would break
33,S01E01,7940,8140,Why was Jerry scared?,Tom appeared in front of Jerry,Jerry was afraid of being chased and caught by Tom after seeing Tom appeared in front.
34,S01E01,7940,8487,Why was Jerry shaking the glass over the edge?,To try to scare Tom,Jerry wanted to keep Tom away by threatening to break the glass and getting Tom into trouble
35,S01E01,7800,8911,Why did Tom not react when Jerry tried threatening him,Tom knew the glass would not break,"Tom had placed down pillows on the ground to catch the glass so even if Jerry threw the glass, the glass would not break"
36,S01E01,8540,8885,Why did Jerry put a hand to the ear?,Jerry wanted to hear the breaking sound of the glass,Jerry was trying to listen to see if the glass he had thrown had broken or not
37,S01E01,8540,8885,Why was Jerry confused?,Jerry did not hear the glass breaking,Jerry threw the glass down but the sound of breaking glass that Jerry anticipated was not heard
38,S01E01,8540,8885,Why did Jerry look down?,Jerry was looking for the glass he had thrown.,Jerry wanted to double check if the glass broke since Jerry did not hear the glass breaking
39,S01E01,8540,9018,Why did Tom smile to Jerry?,To let Jerry know that Jerry was in danger,Tom was happy that he outsmarted Jerry and could no longer be threatened by Jerry.
40,S01E01,9018,9268,Why was Jerry begging?,Jerry did not want to be eaten by Tom.,Jerry was caught by Tom and did not want to be eaten so Jerry was begging to not be eaten
41,S01E01,9018,9384,Why did Tom let Jerry go?,To play with Jerry,"Tom knew even if Jerry was let go, Tom would still catch Jerry so Tom let Jerry go "
42,S01E01,9343,9515,Why did Tom throw Jerry in the air?,To eat Jerry,Tom threw Jerry in the air so that Jerry would land in Tom's mouth to be eaten
43,S01E01,9343,9550,Why did Jerry hold on to the plate?,To avoid falling down,Jerry held on to the plate to avoid falling into Tom's mouth and getting eaten
44,S01E01,9343,9598,Why did Jerry hold on to the shelf?,To avoid falling down,The plate that Jerry was holding on to fell and Jerry did not want to fall along with it
45,S01E01,9343,9833,Why was Jerry pushing the plates off the shelf?,So Tom would be hit by the plates,Jerry wanted to get revenge on Tom so Jerry pushed the plates off to hit Tom's head 
46,S01E01,9343,9678,Why was Tom confused?,A plate landed on Tom's head,Tom expected Jerry to land into Tom's mouth since Tom threw Jerry in the air but a plate landed on Tom instead
47,S01E01,9746,10199,Why was Tom sweating?,Tom was getting tired,The plates started getting heavier as they stacked more and Tom was getting tired carrying them
48,S01E01,9550,10725,Why did Jerry throw a plate off?,To get Tom into trouble with Mammy Two Shoes,Jerry knew Tom could not catch the plate so Jerry threw the plate to get Tom scolded by Mammy Two Shoes
49,S01E01,11302,11461,Why was Tom angry?,Jerry was splashing milk in Tom's face,"Tom was carrying a heavy stack of plates and Tom was splashing milk in Tom's face, making Tom almost drop the plates"
50,S01E01,11302,11639,Why was Jerry rubbing Tom's tail against himself?,Jerry was drying off with Tom's tail,Jerry was swimming in milk and was covered in it so Jerry used Tom's tail to dry himself off
51,S01E01,11645,12072,Why did Jerry kick Tom?,To make Tom drop all the plates,Jerry heard Mammy Two Shoes coming and wanted to make Tom drop all the plates so Tom would get into extra trouble
52,S01E01,11645,12721,Why did Jerry stick a tongue out?,To taunt Tom,Jerry made Tom get punished by Mammy Two Shoes and wanted to taunt Tom while Mammy Two Shoes was dragging Tom out
53,S01E01,11645,12721,Why was Jerry laughing?,Jerry was happy that Tom got punished,Jerry caused Tom to drop all the plates and get punished by Mammy Two Shoes
54,S01E01,11645,12072,Why did Tom drop the stack of plates?,Jerry had kicked Tom,Jerry kicked Tom and made Tom lose balance which caused Tom to drop all of the plates
55,S01E02,960,1210,why did jerry look out of the refrigerator?,jerry was trying to see if there was anyone outside,jerry wanted to check if it is safe to steal the cheese
56,S01E02,1150,1510,Why was Jerry wobbling?,Jerry's steps were unstable.,Jerry was trying to walk on a stalk of vegetable while carrying a huge cheese.
57,S01E02,1956,2337,why did tom put the lamp over his head?,tom wanted to hide his face,tom wanted to trick jerry into thinking that Tom was not behind jerry 
58,S01E02,2403,2936,why did tom place objects on the cheese?,so that jerry will be carrying more weight,tom wanted to make it difficult for jerry to carry the weight
59,S01E02,2953,3234,why did tom stack the break in a staggered manner?,tom wanted jerry to use the bread as steps to the top of the rolling pin.,tom wanted to make it more difficult for jerry to carry the cheese on the rolling pin.
60,S01E02,3265,3648,why did tom roll the pin near the bread?,tom wanted jerry to stand on the pin once he reached the highest bread,tom wanted jerry to lose his balance on the rolling pin and fall
61,S01E02,4008,4185,why did jerry place the cheese back in the refrigerator?,jerry wanted to put the cheese back in the original place,Jerry knew that he had been caught stealing the cheese by Tom and wanted to put the cheese back.
62,S01E02,4444,4575,why did tom step on jerry's tail?,to trap jerry ,to prevent jerry from running off with the cheese
63,S01E02,4827,5087,why did tom put the iron on jerry's tail?,to hold jerry on the table  ,tom did not want jerry to escape while Tom was eating
64,S01E02,5319,5681,why did tom tap on jerry's shoulder?,Tom wanted to get Jerry's attention.,tom wanted to let jerry know that jerry got caught escaping
65,S01E02,5370,5810,Why did Jerry put his tail under the iron?,Jerry was trapping himself under the iron.,Jerry knew that he had gotten caught escaping by Tom and decide to return to the original position.
66,S01E02,5868,6343,why did tom's body shake?,because tom ate the jelly,the jelly was wobbling in tom's body when Tom swallowed the jelly
67,S01E02,5860,6400,Why was Jerry laughing?,Jerry saw Tom eating the Jelly.,Jerry was amused when Tom wobbled after eating the jelly.
68,S01E02,6570,6841,why did tom hold the cheese near jerry?,tom wanted jerry to smell the cheese,tom was teasing jerry with the cheese since jerry cannot eat the cheese
69,S01E02,6875,7162,why did tom feed jerry the cream,tom wanted jerry to eat the cream,tom wanted jerry to come closer to tom so that tom could blow the cream onto jerry
70,S01E02,7192,7290,why did tom cover his nose?,tom smelt the cheese,tom found the cheese to be smelly
71,S01E02,7293,7434,why did tom cover his eyes? ,Tom heard plates crashing.,tom accidentally broke glass by throwing the cheese and he heard the sound of glass breaking.
72,S01E02,7449,7702,why was tom scared?,tom saw Mammy Two Shoes coming down the stairs,tom was scared that mammy two shoes will punish tom
73,S01E02,7761,7884,why does tom put jerry in the fridge and hide himself?,tom wanted mammy two shoes to open the fridge and find jerry,tom wanted to push the blame of breaking the glass to Jerry
74,S01E02,7975,8136,why does mammy two shoes stand on a stool?,mammy two shoes was scared,mammy two shoes did not want the mouse to touch her
75,S01E02,8150,8700,Why was Tom chasing Jerry?,Tom wanted to catch Jerry.,Tom wanted to show Mammy Two Shoes that Tom could catch Jerry.
76,S01E02,8530,8815,Why did Mammy Two Shoes fall?,Tom had pulled the chair that Mammy Two Shoes was standing on.,Tom had pulled the chair as Tom was tangled up on the chair while chasing Jerry.
77,S01E02,8900,9132,why did jerry jump on to the pedal of the bin?,jerry wanted to open the lid of the bin,Jerry wanted to inflict pain on Tom by hitting Tom with the bin lid.
78,S01E02,9240,9325,Why did Jerry jump into the toaster?,Jerry wanted to hide from Tom.,Jerry wanted to hide from Tom so that Tom would stop chasing Jerry.
79,S01E02,9277,9596,why did tom push down the lever of the toaster?,tom wanted to switch on the toaster knowing that jerry is inside,tom wanted to lure jerry out of the toaster to catch Jerry.
80,S01E02,9655,9787,why did jerry put his tail in the sink water?,jerry's tail was on fire,jerry wanted to extinguish the fire and cool down his tail
81,S01E02,9919,10060,why did jerry run up the blinds and onto a high rise counter?,jerry wanted to escape from tom,jerry wanted to reach a height that tom cannot reach
82,S01E02,10650,11535,why did jerry pick up a fork?,jerry used the fork to poke tom on the rear end,jerry wanted to hurt to so that tom will jump in pain
83,S01E02,12046,12294,why was mammy two shoes holding a bowl of milk,mammy two shoes wanted to feed tom the milk,mammy two shoes wanted to treat tom assuming that tom caught jerry
84,S01E02,12410,12626,Why was jerry smiling while covering his ears and eyes,jerry was seeing tom get hurt by mammy two shoes,jerry was happy that his plan worked
85,S01E02,1600,2100,Why did Tom follow behind Jerry?,Tom wanted to play tricks on Jerry.,Tom wanted to play tricks on Jerry after seeing Jerry carrying the piece of cheese.
86,S01E02,4000,4440,Why did Jerry grab a small piece of cheese?,Jerry wanted to run away with the small piece of cheese from Tom.,Jerry wanted to steal a smaller piece of cheese after putting the huge piece of cheese back to fridge.
87,S01E02,10050,10300,Why did Tom jump up after seeing Jerry on the counter?,Tom wanted to jump up onto the counter.,Tom wanted to jump onto the counter to catch Jerry who was on the counter.
88,S01E03,1292,1656,why did jerry move slowly and cautiously?,because jerry wanted to avoid the mouse trap,Jerry did not want to be hurt and caught by the mouse trap.
89,S01E03,1728,2146,why did jerry run from the purple ball?,because jerry saw something moving,because jerry got scared seeing his own reflection
90,S01E03,2379,2654,why did jerry run away?,Jerry got scared and wanted to run away from the doll,because jerry got scared by the doll falling down
91,S01E03,2705,3465,why did jerry jump on the soft toy continuously?,Jerry was excited,Jerry was entertaining himself by jumping on the soft toy.
92,S01E03,3370,3800,Why did jerry jump on Tom?,Jerry thought Jerry was jumping on the toy instead of Tom.,Jerry wanted to entertain himself by jumping on Tom
93,S01E03,3475,4030,why did tom have an angry expression?,because jerry jumped on tom,because tom felt pain as jerry was jumping on tom
94,S01E03,3891,4157,why did jerry paste the sticker on tom's mouth?,because tom opened his mouth wide and jerry got scared,because jerry was afraid tom would eat him up
95,S01E03,4000,4338,why was tom chasing jerry?,because tom wanted to catch jerry,Tom wanted to take revenge for Jerry sticking the sticker on Tom's mouth.
96,S01E03,4217,4403,why did jerry stop tom?,to shoot the cork stopper at tom,to distract and trick tom by shooting the cork stopper at Tom and run away from tom
97,S01E03,4427,4687,why did jerry sit on the wire?,to make tom touch the wire,to cause tom to be electrocuted when tom tried to catch jerry
98,S01E03,4670,4859,why did tom look around?,to find jerry,because tom wanted to catch and attack jerry
99,S01E03,4738,5203,why was jerry hiding?,because jerry did not want to be caught by tom,so that tom cannot hurt jerry physically
100,S01E03,4800,5150,Why did tom stare at jerry?,Tom was staring at jerry after tom found jerry hiding behind the soldier toy.,tom was showing to jerry that Tom had found jerry
101,S01E03,5012,5230,why did tom chase jerry?,to catch jerry,so that tom can attack jerry
102,S01E03,5241,5367,why did tom stop running ?,tom had to stop because of the barricade,because of the train crossing by the barricade stopped tom from running
103,S01E03,5241,5480,why did tom get shocked?,because jerry escaped on the train,because tom was unable to catch jerry 
104,S01E03,5240,5503,why did tom make faces at jerry?,Jerry was teasing Tom.,Jerry was ridiculing Tom who was stuck behind the train barricade.
105,S01E03,5429,5598,why did jerry run away?,to not get caught by tom,so that tom cannot hurt jerry physically
106,S01E03,5601,6106,why did tom stop running ?,because tom saw something on his path which started moving,tom was shocked to see a boxing glove moving on its own
107,S01E03,6140,6282,why did tom smile at the gift box?,the box was moving and tom thought jerry was inside the box,tom was happy he found jerry so that tom can attack jerry
108,S01E03,6140,6372,why did tom fall?,The boxing glove hit Tom.,because the boxing glove shot up from the gift box and scared tom
109,S01E03,6513,6877,why did jerry point the flower at tom?,Jerry wanted to appear to be giving the flower to Tom.,because jerry wanted to stop tom from chasing him
110,S01E03,6802,7515,why did tom smile?,Tom was happy and shy.,tom was impressed by the flower and the kisses from jerry
111,S01E03,6990,7654,why did jerry run away?,because jerry tricked tom,jerry was afraid tom would attack jerry for tricking Tom.
112,S01E03,7639,7900,why did jerry throw snowball?,Jerry wanted to hit Tom with the snowball.,Jerry wanted to inflict physical pain on Tom.
113,S01E03,7730,7985,why did tom block the mailbox?,tom did not want jerry to come into the house,tom was angry with jerry for attacking tom and wanted some peace from Jerry.
114,S01E03,8485,9971,why did tom leave the mailbox open?,to allow jerry to come in through the mailbox,Tom feared that Jerry would be stuck in the cold and wanted to let Jerry in.
115,S01E03,9971,10196,why was tom shocked?,Tom saw Jerry stuck in the ice.,Tom did not expect Jerry to be frozen and felt bad.
116,S01E03,10196,10717,why did tom run to the fire?,tom was holding frozen jerry,tom wanted to unfreeze jerry with the heat from the fire
117,S01E03,11158,11545,why did jerry put the candy into tom's milk?,jerry wanted to remove the mouse trap in the milk,because jerry did not want tom to get hurt by the mouse trap
118,S01E03,11707,12224,why did jerry place the candy stick in the mouse trap?,because jerry wanted to remove the cheese without getting trapped,because  jerry wanted to eat the cheese
119,S01E03,9700,10200,Why did Tom clean the window?,Tom wanted to look outside to find Jerry.,Tom wanted to find jerry after Tom had opened the mailbox but still did not see jerry coming in.
120,S01E03,11900,12200,Why did jerry smile?,jerry was delighted after seeing the spring of the mousetrap coming down slowly.,Jerry realised that the cheese is the gift but not the bait he had thought.
121,S01E04,692,1659,why was tom shaking?,because tom was scared,because tom was listening to the radio and was frightened by the sound from the radio
122,S01E04,1670,2588,why was jerry laughing?,because jerry was ridiculing tom,because Jerry found it amusing that tom was shivering in fright from listening to the radio
123,S01E04,2390,2730,Why did Tom run away?,Tom ran away to hide in the vase.,Tom ran away to hide in the vase as he was scared.
124,S01E04,2590,2842,why was tom heave a sigh?,because Tom was relieved.,Tom was relieved that he was safe
125,S01E04,2590,3232,why did jerry tiptoe?,because jerry wanted move without getting noticed by tom,because jerry wanted to move without being seen by Tom to scare tom
126,S01E04,3232,3690,why did tom run?,because tom heard something move,because tom got scared when he heard a noise and wanted to run to hide.
127,S01E04,3760,4224,why did jerry turn the knob in the pipe?,because jerry wanted to let out the hot water ,because jerry wanted to use the water to scare and attack tom
128,S01E04,3760,4224,Why was Tom in the air?,tom was shot up by the water,because jerry turned on the water while tom was sitting directly above the water and the water shot Tom up.
129,S01E04,4260,4430,why was tom panting?,because tom was tired from running,"Tom got scared and ran, making him tired."
130,S01E04,4440,5420,Why did Jerry turn on the vacuum cleaner?,Jerry wanted to scare Tom.,Jerry wanted to use the vacuum cleaner to pretend to be a ghost and scare Tom.
131,S01E04,4370,5260,Why was Tom sweating?,Tom was scared.,"Tom heard the sound of the vacuum and saw the moving white coat behind, making him scared."
132,S01E04,4370,5420,Why did Tom fall to the ground?,Tom fainted.,Tom fainted from being too frightened by the moving white coat.
133,S01E04,5420,6039,Why did Jerry use the spray bottle?,Jerry wanted to use the spray bottle to spray water at Tom.,Jerry wanted to spray Tom with water to wake Tom up.
134,S01E04,6390,6981,why was tom running?,Tom wanted to run away from the vacuum cleaner,because the vacuum cleaner was sucking tom in and Tom ran to avoid being sucked in the vacuum cleaner
135,S01E04,6160,6915,Why did Tom grab onto the telephone?,Tom was trying not to fly backwards towards the vacuum cleaner.,Tom was scared and wanted to get away from the vacuum cleaner.
136,S01E04,6915,7292,Why did Tom jump up?,Tom was in pain.,Tom was in pain from Tom's ghost chomping down on Tom's tail.
137,S01E04,7292,7560,Why was Tom running away?,Tom was running away from the vacuum cleaner he thought was a ghost.,Tom was trying to get away from the vacuum cleaner he thought was a ghost as Tom was scared.
138,S01E04,7715,8015,Why was Tom smirking?,Tom saw Jerry operating the vacuum cleaner.,Tom was delighted that he discovered Jerry's prank that there was no ghost and it was Jerry operating the vacuum cleaner.
139,S01E04,7547,8962,why did jerry go to the front and check?,because jerry wanted to check if tom was still in front,because jerry saw tom behind and got confused.
140,S01E04,7292,8530,Why did Jerry gulp?,Jerry was nervous.,Jerry confirmed that Tom was no longer in front of the vacuum cleaner and that Jerry had been caught by Tom.
141,S01E04,9125,9500,why did tom chase jerry?,because tom wanted to catch jerry,because tom wanted to physically attack jerry
142,S01E04,9215,9950,Why did Mammy Two Shoes walk into the room with a rolling pin?,Mammy Two Shoes heard the noise and wanted to find out what was going on.,Mammy Two Shoes heard the noise and thought that there was a burglar in the house.
143,S01E04,9954,10230,Why did Jerry jump into the tub of flour?,Jerry wanted to hide in the tub of flour.,Jerry wanted to hide in the tub of flour to escape from Tom who was chasing Jerry.
144,S01E04,10753,11067,why did tom attack mammy two shoes?,because tom thought it was jerry moving with a white cloth over him,because tom thought that Mammy Two Shoes was Jerry in disguise and wanted to catch jerry
145,S01E04,9954,11315,why was jerry white in colour?,because jerry was covered in flour,because jerry was hiding in the tub of flour and emerged covered in flour.
146,S01E04,11015,11508,Why did Jerry jump up?,Jerry was shocked to see his reflection.,Jerry was shocked to see himself covered in white and looking like a ghost.
147,S01E04,11015,11625,why did jerry run from the jug?,Jerry got scared.,"because jerry got scared seeing his own reflection and thought that it was a ghost, so Jerry ran away."
148,S01E04,5600,6050,why did tom tilt his head?,Tom wanted to empty the water inside his ear.,Tom's ear was full of water after jerry sprayed Tom with the water and Tom tilted his head to empty the water out
149,S01E04,8620,8930,why did jerry hide behind the white shirt?,Jerry wanted to scare Tom.,jerry wanted to pretend to be a ghost to frighten Tom after Tom had discovered Jerry's prank 
150,S01E04,10900,11300,why did jerry get out of the tub of flour?,Jerry got out of the tub after finding Tom and Mammy Two Shoes fighting ,Tom was fighting with mammy Two shoes that could not chase Jerry and jerry thought that he was safe
151,S01E05,592,845,why did tom pull the tablecloth?,so that jerry will run on the same spot,to make jerry run on the same spot and prevent jerry from escaping from tom
152,S01E05,877,1108,why did tom run underneath the table?,so that jerry can't see tom,tom wanted to surprise jerry by appearing on the other side of the table so that Jerry would run into Tom's mouth.
153,S01E05,1057,1169,why did jerry hold on to tom's whiskers?,jerry tried to swing himself back out from tom's mouth by holding the whiskers,Jerry held on to Tom's whiskers to prevent himself from running into Tom's mouth and getting eaten.
154,S01E05,1293,1547,why did tom knock outside the mouse hole and wait for jerry?,Tom wanted Jerry to answer the knocking and come out of the mouse hole.,tom wanted to ambush and catch jerry when Jerry answers the door.
155,S01E05,2010,2887,why did jerry move tom's tail?,jerry wanted to put tom's tail on the mouse trap,jerry wanted tom's tail to get caught in the mouse trap and hurt tom
156,S01E05,2639,3033,Why was Jerry running?,Jerry was running away from Tom.,Jerry did not want to be caught by Tom since Jerry hurt Tom.
157,S01E05,3005,3072,why did jerry stop himself from running out of the door?,spike was sleeping at the entrance of the door,jerry did not want to run into spike and wake spike up
158,S01E05,2975,3244,why did tom hit spike?,tom was chasing jerry and was running towards the door,tom could not stop himself in time while running and knocked into spike
159,S01E05,3120,3590,Why was Spike chasing Tom?,Spike wanted to catch Tom.,Spike was angry that Tom crashed into Spike and woke Spike up.
160,S01E05,3409,3537,Why was Jerry tiptoeing?,jerry did not want anyone to hear him,jerry did not want to get caught by spike or Tom.
161,S01E05,3600,3764,why did tom climb the lamp?,tom wanted to escape from spike,tom thought that spike will not be able to jump up to the lamp to catch tom
162,S01E05,3776,4108,why did spike start to chase jerry?,spike saw jerry laughing at tom's misfortune ,spike's attention got diverted to jerry instead of tom and Spike wanted to catch Jerry.
163,S01E05,4129,4409,why did spike fail to catch jerry?,jerry ran into a cuckoo clock that pops in and out with jerry hanging on it,jerry went in back into the cuckoo clock every time spike was jumping and trying to bite Jerry
164,S01E05,4421,4641,why did tom slide down the lamp?,tom saw spike trying to catch jerry,tom was confident that spike would not come after tom since spike's attention was on jerry
165,S01E05,4643,4747,why did tom jump up?,tom saw spike running towards tom,tom did not want to get hurt by spike
166,S01E05,4758,4953,why did jerry slide down the clock?,jerry saw spike trying to catch tom,jerry was confident that spike will not come after jerry since spike's attention was on tom
167,S01E05,4954,5042,why did jerry go up the clock?,Jerry tried to escape from Spike.,jerry did not want to get caught and hurt by spike who was chasing Jerry
168,S01E05,4810,5170,Why was Jerry panting?,Jerry was relieved.,Jerry was relieved that he managed to escape Spike's jaws by climbing up the clock fast.
169,S01E05,5170,5420,Why did Tom gulp?,Tom was nervous.,Tom was nervous and wanted to slide to the ground and get away without Spike noticing.
170,S01E05,5770,6189,why did tom hold on to the edge of the table?,tom used the edge of the table as a pivot to swing up,tom wanted to avoid Spike to prevent himself from being bitten by spike
171,S01E05,5770,6359,Why did Jerry whistle to Tom?,jerry wanted to get Tom's attention,Jerry wanted to signal Tom to get to the clock to help Tom to escape from Spike.
172,S01E05,6317,6630,Why did Tom look scared?,Tom's whiskers were snapping.,Tom's whiskers were snapping and Tom would fall to the ground and get bitten by Spike.
173,S01E05,6360,6755,why did tom extends his paw to Jerry?,tom wanted to shake hands with jerry,tom felt thankful towards jerry for saving Tom from Spike.
174,S01E05,6756,7155,Why did Tom lower his tail?,Tom wanted to catch Jerry using Tom's tail.,Tom wanted to save Jerry by catching Jerry with Tom's tail as Jerry was falling into Spike's mouth.
175,S01E05,7388,7804,why did jerry whisper into tom's ear?,jerry did not want spike to hear what jerry was telling tom,jerry wanted to let tom know his plan to get rid of Spike secretly
176,S01E05,7806,8176,"why did tom whistle, make faces and wiggle his tail?",tom wanted to grab spike's attention,tom was distracting spike while jerry was executing the plan to get rid of Spike.
177,S01E05,8235,10151,why did jerry weave the yarn through the house?,jerry was making a trap for spike,jerry wanted spike to get caught in the string and damage all the items at the house
178,S01E05,8150,10400,Why did Jerry kick Spike?,Jerry wanted to anger Spike.,Jerry wanted to trigger Spike to get Spike to start running so that Spike would get caught in the yarn and damage the house items.
179,S01E05,10219,10666,why did mammy two shoes drag spike?,Mammy Two Shoes wanted to kick Spike out of the house.,mammy two shoes wanted to kick Spike out of the house after seeing the damages Spike had caused.
180,S01E05,10863,11219,why did tom chase jerry?,Tom got angry as his tail was caught in a mouse trap.,"Tom thought that Jerry had put the mouse trap on Tom to cause hurt, and wanted to catch Jerry to take revenge."
181,S01E05,6200,6480,why was jerry pulling tom's whiskers?,jerry was pulling tom's whiskers after tom was about to fall from the clock,jerry wanted to avoid tom falling from the clock and getting bitten by spike
182,S01E05,6720,6900,why did tom look shocked?,tom was shocked after seeing jerry falling into spike's mouth,tom was afraid that jerry would be eaten by spike after tom fell down from the clock
183,S01E05,9000,9200,Why did spike jump up?,spike jumped up after seeing tom wiggling his tail on the clock,spike wanted to catch and bite tom
184,S01E06,666,1083,why did jerry fall back into the empty fish bowl?,because tom pushed jerry back into the empty fish bowl,Tom was having fun watching Jerry being trapped inside the fish bowl so that tom pushed jerry back
185,S01E06,1056,1513,why did tom put flowers back into the bowl and hide jerry?,Tom heard Mammy Two Shoes' voice.,Tom did not want Mammy Two Shoes to catch him playing with Jerry.
186,S01E06,1056,1363,Why did Tom put Jerry into the cabinet?,Tom wanted to trap Jerry in the cabinet.,Tom wanted to trap Jerry in the cabinet while mammy two shoes was passing by.
187,S01E06,1363,1990,why did tom sneak out of where he hid?,because tom wanted to go closer to the door,because tom wanted to eavesdrop on what mammy two shoes was talking
188,S01E06,2012,2608,Why did Tom have hearts in his eyes?,because tom saw toots,because tom felt love at first sight towards Toots
189,S01E06,2622,3658,why did tom walk to the dressing table?,because tom wanted to dress up ,because tom wanted groom himself to impress toots
190,S01E06,3658,4084,why did tom show the goldfish and canary to toots,because tom wanted to offer it to toots if toots was hungry,because tom wanted to impress toots
191,S01E06,3658,4084,Why did Toots shake her head?,Toots did not want to eat the goldfish or canary which Tom offered.,because toots was not hungry and did not want to eat the goldfish or canary.
192,S01E06,4101,5288,why did tom open the filing cabinet?,because tom wanted to release jerry,Tom wanted to release Jerry then catch Jerry to show off to Toots.
193,S01E06,4101,4680,Why was Jerry running away?,Jerry was running away from Tom.,Jerry was taking the opportunity when the cabinet was open to run away from Tom.
194,S01E06,5216,5349,why did tom move jerry to the back of his hand?,because tom was doing a magic trick by making Jerry disappear.,because tom was doing a magic trick to impress toots.
195,S01E06,5349,6412,why did toots smile?,because tom did magic show for toots,because toots was impressed by the skills of tom
