qid,vid,Start Frame,End Frame,question,answer,a0,a1,a2,a3,a4
3161,S04E23,3345,3635,Why did Jeannie look at the baby?,2,Jeannie wanted to scare Tom away and warn Tom to leave the baby alone.,The baby was mischievous.,Jeannie was checking on the baby to see if the baby was ok.,Jerry wanted to pull the baby back and stop the baby from crawling forward.,Jeannie saw Tom lift the baby up
3114,S04E21,8126,8337,why did tom run away,1,because joan chased and beat tom with the broomstick.,tom wanted to run away and hide underneath the sofa ,Tom wanted to get home fast.,because tom heard something move,Jerry used the ink bottle to threaten Tom to walk away.
915,S02E01,1360,1580,Why did Tom make funny faces at Spike?,0,Tom wanted to distract Spike.,Tom was mocking Spike.,Spike wanted to chase Tom away.,Spike got annoyed with Tom.,Tom wanted to hide behind Spike.
1867,S03E05,4550,4842,Why did Jerry grab a glass?,1,Jerry saw Tom chasing after him,Jerry wanted to catch the goldfish with the smaller glass.,To try to scare Tom,Tom wanted to give Jerry a glass,Jerry wanted to use the stick to reach for the sack in the river.
2701,S04E07,7630,7970,Why did Butch start crying?,3,Butch was shocked.,Butch did not know why Tom was in pain,Jerry escaped from Butch,Jerry snatched the ham from Butch.,Jerry hurt Butch
257,S01E07,9385,9643,Why was Tom happy?,0,Tom thought Jerry is trapped inside the ball,Tom saw Jerry's shadow., The starfish did not come off Toms head,Tom had thought of a plan to get Jerry from Eagle.,Tom caught Jerry.
1650,S02E24,1179,1619,Why did Tom yank on the lasso?,0,Tom had difficulty pulling the lasso.,The bowling ball fell and hit tom’s foot,Tom was confused when he saw the hot dog in his hand.,Cuckoo pointed Tom with the gun and moved forward.,Tom wanted to change directions of the rolling ball so that it would land inside the golf hole.
3773,S05E16,3190,3480,Why was Tom bouncing around?,0,Tom was in pain.,Tom was shocked.,Cuckoo pulled up the floor tile and trapped Tom's tail under the floor tile to save Jerry.,Tom bit on the mousetrap,butch was going to hurt tom
4643,S06E24,5671,5845,Why did Lightning build a wall?,0,Lightning wanted to hide behind the wall.,Lightning threw the flower petals for Jerry as Jerry walked past.,The explosion from the cannonball destroyed the wall.,Jerry was pointing at Lightning.,Lightning's imagination about strong Jerry amused Lightning.
61,S01E02,4008,4185,why did jerry place the cheese back in the refrigerator?,4,Jerry wanted to hide,Jerry was reaching into the fridge to steal food.,To trick Tom into walking into his own trap,tom wanted jerry to smell the cheese,jerry wanted to put the cheese back in the original place
952,S02E02,2120,2450,Why did Tom sit on the top of the fishing pole?,0,Tom wanted to hide himself from Spike.,Tom wanted to stop himself falling into the lake.,Tom was walking without looking at where he was going.,Tom did not want to fall into the shark's mouth.,Tom did not want the woodpecker to disrupt while Tom was dealing with Jerry.
4618,S06E23,6611,6829,Why did Tom start to skate?,3,Tom bit on the mousetrap,Cuckoo pulled up the floor tile and trapped Tom's tail under the floor tile to save Jerry.,Tom jumped in pain.,Tom was drunk.,Tom wanted to roll Jerry over with the roller.
409,S01E12,3610,4230,Why did Jerry dress up as a doll?,4,jerry wanted to make it hard for tom to cut jerry into 2 equal portions,Jerry wanted to silence Nibbles.,Jerry wanted to imitate Tom.,Jerry wanted to get Tom's attention.,Jerry wanted to disguise himself.
3274,S04E27,2645,2815,Why did Jerry jump into the charcoal?,3,Jerry entered the cigar to be shot up into the window.,Jerry was shocked to see Tom coming towards him.,Jerry was shocked to see his reflection.,Jerry was trying to hide from Tom.,Jerry jumped to avoid getting caught
4854,S06E32,1238,1405,Why did Tom crash into the wall?,0,Tom slid on the bath mat and crashed into the wall.,Tom wanted Jerry to come out of the mouse hole.,Tom was trying to creep up on Jerry.,because tom was hurry to go outside,Tom slid off the stairs banister into the window.
622,S01E18,3225,3500,Why did Jerry smile?,2,Jerry took Tom's place as Tom was too tired to take the curtain call.,To let Jerry know that Jerry was in danger,Jerry was relieved.,Jerry made Tom stop chasing Tom,Jerry was happy that Tom got punished
2560,S04E03,3150,3430,Why was Jerry tiptoeing?,1,Jerry was choosing one cat from a cage of cats.,Jerry wanted to sneak the pup into the house.,Jerry was shocked.,Jerry was dismayed to see Tom.,Jerry kept running into the wall head first.
1220,S02E10,4425,4555,Why was Spike smiling?,2,Spike was restrained by a leash.,Spike and Tyke were happy.,Tom and Jerry pushed in Spike's chair for Spike.,Spike saw the hot dogs moving out of his picnic basket.,Spike knew that Tom was alone in the house.
3634,S05E11,7445,7560,Why did Jerry run away?,1," The pistol ball bounced on Jerrys head, pushing him into the ground.",Jerry saw Tom approaching.,Jerry saw Tom trapped Cuckoo inside the pot.,Jerry saw a piece of cheese outside the mousehole.,Jerry saw a shadow on the ground.
157,S01E05,3005,3072,why did jerry stop himself from running out of the door?,3,Jerry wanted to keep Tom out of the mouse hole.,Jerry wanted to do the same to Tom who had slammed the door on Jerry.,Jerry wanted to hit Tom with the door.,spike was sleeping at the entrance of the door,Jerry heard Spike's scream.
728,S01E21,2740,3135,Why did Eagle look confused?,3,Eagle wanted to get rid of Tom.,Jerry was angry that Eagle tried to eat him.,Tom and Eagle were both fighting over eating Jerry.,Eagle realised that Jerry disappeared.,Eagle did not expect to see Jerry.
981,S02E03,1620,2143,Why did Jerry jump up?,3,The gun Jerry was holding kept tilting backwards.,Jerry wanted to let Tom see Jerry.,tom shot down the plane with firecrackers.,Jerry saw Tom.,Jerry was trying to get away from Tom by jumping down the pipe.
4121,S06E05,5275,5888,why did tom blow up the fire with his tail,2,Tom was fixing his body like a jack.,tom wanted to get inside the house,Tom was frozen everywhere except his tail.,Tom wanted the smoke from the fire to fill the sky.,Tom was angry.
4735,S06E27,8706,9085,Why did Tom stick his tongue out?,0,Jerry offered the bone to Tom.,Invisible Jerry and Quacker wanted to pour aspirin onto Tom's tongue.,Tom wanted to eat the coconut.,Tom wanted to eat Jerry,Tom saw the food that Jerry had prepared.
1136,S02E07,10390,10515,Why did Tom and Butch stare at each other with their mouths open?,0,Tom and Butch were shocked.,Tom and Butch saw many balls flying at them.,Tom hit Butch on the head with a hammer,Tom and Butch were scared of Mammy two shoes.,Tom and Butch decided to cooperate.
895,S01E25,6857,7100,Why was Butch angry at Tom?,1,Butch was trying to catch Tom.,Tom hit Butch on the head with a hammer,Butch was taunting Tom.,Butch was mad at Tom.,Jerry hurt Butch
2682,S04E07,2540,3045,Why did Butch go into the bassinet?,2,Butch did not know why Tom was in pain,Butch wanted to be fed the ham.,Butch wanted to disguise as baby., Jerry fell for Butchs trap,Butch wanted to hide in the fridge.
298,S01E09,2178,2351,why did jerry run from meathead?,0,Jerry accidentally ran into meathead and caught meathead's attention.,Jerry wanted to run away from the young tribesman.,Jerry wanted to show affection to meathead.,tom made a scary face to scare jerry,Meathead was making a sandwich with Jerry.
3121,S04E22,3430,3860,Why did Jerry look afraid?,4,Jerry was curious why he could not move,Jerry woke up and found that Jerry was carried by the ants,tom became smaller than jerry,Tom offered a piece of cheese to Jerry.,The woodpecker was eating very fast.
648,S01E19,2300,2572,Why did Jerry look back?,4,Jerry was looking for the glass he had thrown.,Jerry was looking for Quacker who had disappeared.,Jerry wanted to see what he ran into,Jerry saw the shark eat Tom,Jerry was curious why he could not move
478,S01E14,3765,4175,Why did Tom's eyes pop out?,3,Tom's owner was being hurt by the lion,Tom was awakened by Jerry.,Tom saw Jerry through the window.,Tom was shocked.,Tom heard the door slam behind him.
4321,S06E12,5760,6012,why did Tom stand up,4,Tom jumped up in pain.,Tom blocked the airflow of the jetpack.,Tom tried to hold the ball which was too heavy.,Tom stopped spinning.,Tom wanted to catch the pot.
3227,S04E25,5313,5595,why did jerry play a record player,1,Jerry wanted to stop the music coming from the record player.,jerry wanted to play music to attract the bear,Jerry knew that Tom would struggle to keep up with the fast playing.,jerry wanted to continue the performance,Jerry wanted to scare Tom.
4778,S06E29,6271,6590,Why did Tom climb the ladder?,1,The bull was charging towards Tom,Tom wanted to get away from the sea.,because tom was chasing jerry who climbed inside the pipe to the roof,because tom was afraid of spike and spike was looking at tom,Tom bit on the mousetrap
1838,S03E04,4730,5480,Why did Jerry throw the newspaper aeroplane to Butch?,4,Butch wanted to catch Jerry.,Butch saw Jerry carrying the ham away.,Jerry wanted Tom to hit Butch while trying to hit Jerry.,Jerry wanted to fold a paper aeroplane.,Jerry wanted to tell Butch about the heiress Toodles.
1901,S03E06,4320,4760,Why did Muscles blow his fist?,4,Muscles was mad at the cats.,Tom wanted to punch the glove and start a fight.,Muscles wanted to blow the bullets out through the other end., Muscles wanted the firecracker to explode inside Toms mouth.,Muscles wanted to give Tom a good punch.
286,S01E08,9971,10291,why did tom cut off the chicken's feathers?,0,tom was trying to cut jerry ,"tom was showing the reflection of the region of feathers that was cut off,",tom wanted the chicken to jump up,George gave Tom the chicken.,Tom wanted to remove the chicken.
1199,S02E09,9187,9424,Why did Tom tied Jerry?,2,Tom wanted to play tricks on Jerry.,Tom wanted Jerry to fall into the hole,Tom wanted to drive the toy train to hit Jerry who was tied on the train rail.,Jerry wanted to jump on Tom's head.,Tom threw Jerry back into the mousehole.
3066,S04E20,630,1160,Why did the egg roll out of its nest?,2,because mama duck is leaving the egg,The strings connected the hammock with the hook snapped.,"The baby duck was kicking the egg from inside, causing the egg to roll.",Jerry wanted to hide under the chicken.,Tom wanted to stun the bull
858,S01E25,1551,1587,Why did Jerry run into the hole?,1,because jerry wanted to get a pen and paper to write a note.,Jerry wanted to hide from Tom,tom made a scary face to scare jerry,Jerry wanted to enter the mouse hole.,Jerry saw a piece of cheese outside the mousehole.
2298,S03E19,6365,6690,Why was Mechano chasing the clockwork mice?,2,The robot mouse used the ears as the wings to fly.,Tom was behaving like Mechano.,Mechano wanted to catch the clockwork mice and kick them out of the house.,Mechano wanted to knock Jerry out.,Mechano wanted to prevent Jerry from catapulting himself into the mouse hole.
2898,S04E14,1400,1600,Why was Tom throwing food out of the picnic basket?,3,Tom wanted to trap the crawling baby.,The cook saw that Tom was trying to get Jerry.,Tom wanted to appear to be playing fetch with Spike.,Tom was looking for Jerry in the picnic basket.,Tom wanted to use the fishing line to fish Jerry out of the picnic basket.
2949,S04E15,7166,7572,why did jerry wave the cloth,0,because jerry wanted to hide the brown region from joan,Jerry wanted Tom to dive into the red cloth.,Jerry was directing where Tom was running.,Jerry wanted to tell Mammy Two Shoes not to hit Tom., Jerry wanted to wipe Quackers tears and comb Quackers hair.
615,S01E18,1460,2345,Why was Tom smiling on the phone?,4,Tom was delighted.,Tom saw that the baby duck was stuck.,Tom had thought of a plan to get Jerry from Eagle.,Tom was calling the mouse exterminator,Tom was calling Toots.
2470,S03E26,2030,2560,Why did Jerry open his door?,0,Jerry heard Quacker crying.,Jerry wanted to hide as Tom opened the fridge.,Jerry wanted to trap Tom in the oven.,Jerry heard the loud crashing noises.,Jerry wanted to stop Tom from chasing him.
2990,S04E17,1630,2305,Why did Tuffy turn red?,4,because tuffy saw food,Jerry showed Tuffy how a cat chases and eats the mouse.,Tuffy heard loud noises outside the door.,Tom appeared outside the house wanting to spar with Tuffy.,Tuffy read Jerry's love letter to Lilli.
1795,S03E02,9675,10115,Why did Jerry look flustered?,0,The metal can Jerry was in started moving.,Jerry's sword became a hook.,because tom kicked jerry out of the ship and a coconut fell on Jerry's head,Jerry could not find Nibbles who was following behind Jerry.,Tom offered a piece of cheese to Jerry.
1445,S02E17,2215,2800,Why was Tom going up the golden escalator?,4,Tom wanted to climb to the birdhouse.,Tom was chasing Jerry who was running up the stairs.,Tom saw Jerry hanging from the rope above,tom tripped on the stairs,Tom was going to heaven.
2744,S04E09,2745,3075,Why did Topo come out of the mouse hole?,2,Topo wanted to bring Tom and Jerry around the city.,Topo saw the dogs.,Topo heard the fight between Tom and Jerry.,Topo was singing a sad song.,Topo recognised Tom and Jerry and realised they were the main characters of Tom and Jerry cartoons.
2514,S04E01,4799,4921,why did jerry stop running,0,because jerry's tail was clamped by the fence,Jerry had finally escaped and was looking for Quacker.,to not get caught by tom,tom made a scary face to scare jerry,Jerry saw a shadow on the ground.
2214,S03E16,7610,7898,why did jerry drink the milk,1,tom wanted to lure jerry out of the hole with the milk.,because jerry wanted to annoy the kittens,Jerry was shocked that he was sent back to Tom by the rolling ball.,jerry wanted the corks of the bottles to fly out,because jerry wanted to let nibbles drink milk and spray milk on tom's face
2831,S04E11,8287,8416,why did george give a piece of cheese to jerry,0,because george was feeding jerry,Jerry wanted to lure Tom.,Jerry realised that George was scared of mice.,jerry wanted to put the cheese back in the original place,tom wanted jerry to smell the cheese
3037,S04E18,9198,9677,why did the cats run out of the house,4,The kittens saw Tom waving a knife at them.,There was a fight going on.,the three cats were walking by spike,The 3 cats saw Tom.,the cats were running away from spike
4699,S06E26,8059,8246,Why did Jerry put his hands up?,1,Jerry wanted to distract Tom.,Jerry wanted to surrender.,Jerry wanted to tell Mammy Two Shoes not to hit Tom.,Jerry was asking Nibbles to follow Jerry.,Jerry was annoyed.
15,S01E01,4663,4941,Why did Tom breathe a sigh of relief?,0,Tom managed to catch the flower pot,Tom saw that the swordfish was stuck.,Tom realised that Tom was not in hell.,Tom was relieved,Tom found that only part of his tail disappeared.
3993,S05E23,9410,9674,why did the actress scream,3,Butch was pointing the gun at Tom., Tom was bitten by the polar bear specimens head., The crab had pinched Toms tail repeatedly.,the actress saw jerry,Tom realised that there was a swarm of bees on his head.
1158,S02E08,4800,5248,Why did Tom check himself in the mirror?,2,Tom saw Jerry with a female mouse.,Tom was angry,Tom wanted to check his eyes and mouth in the mirror.,Tom wanted to steal a chicken drumstick.,Tom wanted to let Jerry see himself in the mirror.
3988,S05E23,6696,7565,Why did Jerry wave to Tom?,0,Jerry wanted to get Tom's attention.,Tom wanted to get Jerry's attention.,Tom was staring at jerry after tom found jerry hiding behind the soldier toy.,Tom wanted to play tricks on Jerry.,Tom saw Jerry running away.
2692,S04E07,4910,5335,Why was Butch pouting?,2,Jerry had whacked Butch on the feet.,Butch thought that he had caught Jerry,Butch did not like Tom patting Butch on the back.,butch saw jerry sitting on the sofa,Butch did not know why Tom was in pain
3232,S04E25,6486,6943,why did jerry start to play the ukulele,4,jerry was happy,because jerry wanted to perform in front of tom,Jerry wanted to scare Tom.,Jerry knew that Tom would struggle to keep up with the fast playing.,jerry wanted the bear to continue to dance with tom 
783,S01E22,9600,9720,Why did Tom jump up?,2,Tom saw Spike was dragged by Tom's fishing hook.,Tom saw Jerry and Topsy shaking hands.,Tom was shocked.,Tom blocked the airflow of the jetpack., The frog was leaping inside Toms body which caused Tom to fall.
19,S01E01,5015,5583,Why did Tom stop chasing Jerry?,1,Tom wanted to cushion Jerry's fall with a pillow.,Jerry was threatening Tom,Tom did not want Jerry to notice Tom,Tom wanted to catch and attack Jerry.,jerry wanted to approach tom before jerry started barking
74,S01E02,7975,8136,why does mammy two shoes stand on a stool?,0,mammy two shoes was scared,Mammy Two Shoes was chasing after Tom who ran down the stairs.,Mammy two shoes was shocked.,Mammy Two Shoes saw the mess and heard the loud noises.,Mammy Two Shoes wanted to stay high to get away from Tom.
505,S01E15,893,1225,Why did Jerry unlock the truck gate?,1,Nibbles had poked the door with the sword.,Jerry unlocked the truck gate to free Spike.,Jerry heard Spike's scream.,Jerry heard Quackers' cries outside the door.,Jerry wanted to keep Tom out of the mouse hole.
2129,S03E13,6920,7285,Why did Jerry clip the baby ducks mouth?,3,tom was shooting a rifle,The baby duck shook off its bandages and flew off with its family.,The baby duck got shot on its wing by Tom.,Jerry wanted to stop the baby duck from talking.,Jerry was shocked that he was sent back to Tom by the rolling ball.
2234,S03E17,4900,4990,Why did Tom release Jerry?,2,Tom wanted to inflict pain on Jerry.,to prevent jerry from getting closer to him,Tom was shocked and released his grip on Jerry.,Tom wanted to confront Jerry.,tom became very small in size
215,S01E07,1888,2593,Why as Jerry slowly walking away from Tom?,3,jerry asked tom not to hurt jerry,Jerry threatened to squirt ink over the drapes.,Jerry was marching in front of Tom to get Tom to follow Jerry.,Jerry wanted to avoid getting eaten,Tom wanted to catch Jerry.
1155,S02E08,4195,4395,Why did Tom run away?,2,Tom fell into the hole.,because tom was afraid of spike and tom heard the barking noises.,Tom was running away from the explosion.,Tom saw St. Bernard.,Tom wanted to find Jerry and the pup.
263,S01E08,1198,1426,why did jerry pass the cheese to tom?,4,Tom caught Jerry,Tom threw Jerry back into the mousehole.,Jerry wanted to pull the bait and caused Tom to go up together with the bait.,Tom did not want Jerry to notice Tom,jerry wanted tom to hold the cheese
2518,S04E01,6033,6307,why did tom tie jerry to the pillar,2,Tom wanted to drive the toy train to hit Jerry who was tied on the train rail.,Tom wanted to trap Jerry on the blinds.,Tom wanted to trap Jerry on the pillar to ensure that Jerry could not run away.,Tom wanted to play tricks on Jerry.,Tom saw Jerry running away.
4945,S06E34,7130,7380,Why did Jerry look shocked?,1,Tom was back to chasing Jerry,Jerry saw Tom burying the safe.,The woodpecker was eating very fast.,Jerry was flying towards Butch who was about to hit Jerry.,Tom and Jerry saw the hammer moving on its own.
4814,S06E30,8490,8660,Why was Tom smiling?,2,Tom felt Jerry's tail,Jerry gave Tom a great idea,Tom was relieved.,Tom saw Jerry grab the cheese,Tom thought Jerry is trapped inside the ball
4378,S06E14,5700,6625,Why was Tom laughing?,4,Tom thought that Jerry was alone in the house.,Tom humiliated himself,Tom was delighted.,Tom had caught Jerry.,Tom was relieved.
330,S01E10,1180,1630,Why was Tom pouting?,2,because tom wanted to catch all the falling light bulbs,Tom left to find the first aid kit.,Tom was upset that he got kicked out of the house.,Tom was chasing Jerry.,Tom was running away from Spike.
1278,S02E12,630,1320,Why was Tom frowning?,0,Tom was angry.,Tom was in pain and had a bump on his head.,Jerry had thrown food at Tom.,Tom was stuck in a sack.,Tom was upset that Jerry was dancing with Toots.
669,S01E19,7568,7952,Why was Jerry smiling?,0,Jerry was happy to get  his hat back,jerry was seeing tom get hurt by mammy two shoes,Jerry and Topsy were shaking hands.,Jerry saw the table of food.,Jerry was amused.
3662,S05E12,5645,6272,Why did Tom hit his owner's foot with a paddle?,3, The cover fell on Toms foot,Tom threw himself off the pier before Tiny could do so.,Tom saw the shark behind him,Tom saw a design of a mouse on his owner's shoe, Toms owner wanted to get the seat up on the elephant
693,S01E20,2590,2835,Why did Jerry gulp?,3,Jerry wanted to inflict pain on Tom and distract Tom.,jerry wanted to be strong again,Jerry wanted to pretend to be a statue.,Jerry knew that Tom was about to swing the golf club at Jerry.,jerry wanted the firecrackers to follow him in the hose
3453,S05E05,6281,6477,why did tom jump up,4,Tom saw the piano falling down the stairs.,Tom saw the pig falling from above., Flappy bit Toms tail., Jerry ripped off part of Toms fur.,tom was frightened
1321,S02E13,3211,3480,Why did Tom jump up?,1,Tom blocked the airflow of the jetpack.,Tom saw ash on the floor.,Tom saw Jerry and Topsy shaking hands.,Tom saw the fire below catching up,Tom was shocked.
829,S01E24,4468,4710,why did nibbles pull jerry inside the hole,2,Jerry stopped walking suddenly.,Jerry wanted Nibbles to walk in front.,jerry hit the wall and jerry was stunned,because jerry wanted to stop nibbles to go outside,nibbles wanted to lift jerry to run away from tom
2570,S04E03,4960,5620,Why did Tom throw the pup outside the window?,2,Tom wanted to enter the house through the window.,Tom was annoyed at the pup for drinking Tom's milk.,Tom did not want the pup in the house.,Tom was trying to get away from Jerry and Uncle Pecos by running through the window.,Tom wanted to test whether the dog repellent spray works.
3495,S05E07,1254,1582,why did jerry put his hands on his hips,4,Jerry wanted to balance on the candle,Jerry wanted to distract Tom.,Jerry reached his hand out to Tom to signal to Tom,Jerry wanted to surrender.,jerry was annoyed
3428,S05E04,8340,8545,Why did Jerry open the red cloth?,4,Jerry wanted to scare Tom.,Jerry pressed a red button to fold the entire patio into the floor.,Jerry wanted to use the tablecloth to pass the dessert.,because jerry wanted to check if tom was still in front,Jerry wanted Tom to dive into the red cloth.
4867,S06E32,4144,4561,Why did Jerry run to the side?,2, The woodpecker was chipping Jerrys furnitures.,Jerry saw a shadow on the ground.,Jerry saw a piano falling towards him,Jerry saw a car throw a sack into the river.,The balls was chasing after Jerry.
982,S02E03,2115,2440,Why did Jerry knock over the glass bottles?,4,Jerry saw Tom chasing after him,To threaten Tom,jerry wanted to make gas bubbles throughout the liquid ,Jerry was scared,Jerry wanted Tom to trip on the glass bottles.
4265,S06E10,6208,6325,Why did Jerry jump up?,2,tom shot down the plane with firecrackers.,Jerry saw Tom.,Jerry was shocked.,Jerry was trying to get away from Tom by jumping down the pipe.,The gun Jerry was holding kept tilting backwards.
1209,S02E10,1345,1520,Why did Tom nod his head?,3,Tom crashed into the wall.,because tom wanted to hit jerry that was on tom's head and tom hit himself by mistake,"Tom hit himself with a log, causing a bump to grow.",Tom agreed with Spike.,Tom did not know where Jerry ran to.
1992,S03E09,3190,3330,Why did Tom fall into the muddy puddle?,2,Tom got hit by the hammer.,"Jerry tripped Tom, causing Tom to fall to the ground.",Tom was trying to stop Tyke from falling into the muddy puddle.,there was a hole in the pot that he was floating on,Tom jumped in pain.
4421,S06E16,3150,3311,Why was Tom holding his backside?,2,Tom saw Jerry disguising himself as a statue.,The cover fell on Tom's foot,Tom's backside was in pain.,Tom could not find Jerry and Quacker.,Tom was upset.
193,S01E06,4101,4680,Why was Jerry running away?,0,Jerry was running away from Tom.,Tom turned Jerry with one finger.,Ton was pulling the carpet that Jerry was running on to catch Jerry.,Jerry saw Tom in the elevator.,Jerry wanted to avoid getting hurt
