qid,vid,Start Frame,End Frame,question,answer,a0,a1,a2,a3,a4
3260,S04E26,6475,7060,Why did Tom buy a car?,3,Tom was worried that Jerry and the pup would be drowning in the flood so that Tom rushed out to save Jerry and the pup.,because Tom wanted to steal and wear the model dog head,Tom's owner saw Tom touching a gun but Tom's owner did not want Tom touching any guns,Tom wanted to impress Toodles as Tom was in love with Toodles.,Tom wanted to get rid of Jerry and the pup by opening the door to make them slip out of the house.
2811,S04E11,2575,3921,why did Tom start to do housework,0,because Tom was afraid to be kicked out of the house and wanted to appear helpful to joan,Tom wanted to hide and ambush Jerry.,because Tom didn't wanted to be beaten by the broom,"Tom thought that Jerry was still in the car, and Jerry would not be able to follow Tom, hence Tom could get away from Jerry.",Tom wanted to get into the house to catch Jerry when St. Bernard was outside.
3663,S05E12,6144,6450,Why was Tom shocked?,1,Tom was afraid of being smashed by the pig.,Tom thought that he had hit Jerry with a paddle but it was his owner's foot,Tom did not expect someone to drag him by the neck.,Tom did not expect the pole that he was on to suddenly fall so Tom was surprised,Tom did not think that Jerry could break the huge stone in half
4829,S06E31,3507,3742,Why was Tom happy?,3,Tom was delighted that he found Jerry and could catch Jerry.,Tom was happy that he would not be kicked out of the house.,Tom was delighted to watch Jerry get chased by the firecrackers that Tom fired.,Tom was having fun surfing,Tom was happy that Butch caught Jerry.
629,S01E18,3500,4400,Why did Tom look angrily at Jerry?,4,Tom was lazy and Tom did not want to catch Jerry.,Jerry wanted to approach Tom without getting noticed by Tom to scare Tom ,Jerry wanted to get revenge and scare Tom back,because Tom wanted to physically hurt jerry to take revenge.,Tom was angry that Jerry's actions were disrupting Tom's date with Toots.
554,S01E16,6400,6600,why did Tom hug the yellow dog,4,Tom fell for Jerry's trick of pretending that the hot dog was Jerry.,The dog was hungry and wanted to devour Tom.,Tom wanted to enter the dog pound without being recognised as a cat and chased by the dogs.,Tom did not want to fall off the tree and get hurt.,Tom was excited to retrieve the model dog head so that Tom did not need to hide anymore.
1411,S02E16,4525,5260,Why did Jerry's eyes pop out?,3,Jerry was scared as he knew he was going to be eaten by Eagle.,Jerry covered his eyes after seeing Tom getting blown up by the multiple traps in the room.,Jerry closed his eyes to brace himself for the impact from Tom's claws.,Jerry was shocked to see the woodpecker in Jerry's house after leaving the woodpecker in its nest.,Jerry was scared of being eaten by the shark
3300,S05E01,635,1300,Why did Spike carry Tyke?,2,Spike and Tyke were happy that they were going on a picnic.,Spike thought that Tom was Tyke and tried to comfort Tom by carrying and patting Tom.,Spike knew that Tyke was having a bad dream and wanted to comfort Tyke.,Spike thought that Tom was Tyke and tried to comfort Tom by carrying and patting Tom when heard Tom scream.,Spike was protecting Tyke from Tom who was chasing Jerry.
1652,S02E24,1698,1940,Why did Tom grab the lasso?,1,Tom wanted to read Jerry's diary secretly without being seen by Jerry.,Tom wanted to prevent Jerry from running away since Jerry was trying to escape,Tom thought that he had caught Jerry in the curtain and used the book to repeatedly hit Jerry. ,Tom did not want others to see him as a bully for intentionally pushing Jerry into the hole.,Jerry did not want to be caught and eaten by Tom so Jerry pulled the lasso off to escape
1626,S02E23,3138,3280,Why did Tom hit Topsy's head?,4,Tom was angry that Topsy tried to protect Jerry and tripped Tom.,Tom's head was in pain after slipping on an egg and slamming into the fridge.,because jerry was dancing on Tom's head that annoyed Tom and Tom wanted to hit jerry but hit himself accidentally.,Tom wanted to get back at Muscles as Tom became stronger.,"Tom fed Topsy with a stack of sandwiches which was stuck in Topsy's throat, so Tom hit Topsy to push the sandwiches down."
755,S01E22,2400,2825,why did Tom sigh?,3,because Tom wanted to grab the utensils from Jerry from behind him,Tom managed to curl his tail around the fence to pull himself back and Tom did not wake Tiny up.,Tom thought that he had gotten rid of Jerry.,"because Tom had gotten away after getting scolded by Spike, and Spike was finally settling down and sleeping.",Tom was relieved that he was safe
4335,S06E13,2060,2365,Why was Jerry running?,2,Jerry didn't want to be caught and eaten by Tom,Jerry was on the railway while the express train was running towards jerry so Jerry ran to avoid being crushed,"Jerry was running away from the 8-ball which was following Jerry, as Jerry did not want to get squished and hurt.",Jerry was scared of Tom and did not want to be hurt by Tom.,"Jerry did not want to be eaten by Tom, hence Jerry ran away to escape Tom."
2326,S03E20,7125,7462,why did Tom release jerry?,2,Tom wanted to confront Jerry for pulling Tom's whiskers.,Tom took the chance to hurt Jerry as Tom knew that Spike could not come to save Jerry as Spike was restrained by a leash.,Tom was toying with jerry knowing that Tom can easily catch jerry,Tom wanted to focus on his performance without Jerry present.,"Jerry finished giving Tom a massage and was not needed anymore, so Tom threw Jerry back to the mousehole."
836,S01E24,6334,6915,why did jerry smear himself with polish,2,Jerry wanted to become white so that he could disguise himself as a ghost to scare Tom.,Jerry felt safe that Tom was gone.,because jerry wanted to trick Tom and run away from Tom,Jerry was sweating as Jerry was nervous about stealing the cheese.,Jerry was relieved as Jerry thought that he had gotten rid of Tom.
4662,S06E25,5775,6197,Why did the Dupli-cat hold Jerry out?,4,Jerry wanted to trap the two cats in order to stop their fight and take the opportunity to run away.,Jerry held on to the plate to avoid falling into Tom's mouth and getting eaten,The Dupli-cat wanted to hold Jerry while he tied Tom's fingers together.,Jerry wanted to get the kitten away from Tom and avoid getting the kitten caught by Tom,The Dupli-cat wanted to trick Tom to fall into the water.
2306,S03E20,920,1058,why did Tom looked scared?,4,Tom was scared about getting into trouble for the mess in the kitchen after Tom's vision had cleared up.,Tom was in pain.,Tom did not expect the pole that he was on to suddenly fall so Tom was surprised,Tom was afraid of angering Spike when Spike sees that Tyke is dirty.,Tom listened to the captain's scolding and was afraid of losing his job.
1422,S02E16,7395,7510,Why did the woodpecker and Jerry jump up?,1,Jerry was surprised that the bowling balls rolled back towards Tom and jerry ,The woodpecker and Jerry saw Tom running towards them.,The woodpecker saw Tom trying to chop Jerry with a hammer.,Jerry did not expect to see Tom after making Tom fall into the hole.,Jerry was shocked that jerry was going to be eaten by Tom
2239,S03E17,6674,6876,why did the seal break the wire,2,because the seal wanted to persuade jerry to help the seal,because the seal wanted to jump out of the carriage to escape from the circus,because Tom was chasing after the seal and the seal wanted to get away from Tom by swinging on the wire.,because the circus recognised Tom as the seal as Tom dressed up like the seal,The seal wanted to tell Jerry about its awful circus experience.
3161,S04E23,3345,3635,Why did Jeannie look at the baby?,1,Jeannie hit Tom to get the baby back from Tom to protect the baby,"Jeannie was doing her job as the babysitter to ensure that the baby was ok, so that Jeannie could continue with her phone call.",Jeannie took the chance to call her friend as the mother had left the house.,Jeannie saw Tom patting the baby and thought that Tom was bothering the baby.,Jeannie took the opportunity to call her friends as the parents had left the house and no one was watching Jeannie.
3114,S04E21,8126,8337,why did Tom run away,0,Tom was afraid of being hit hy the broomstick so that Tom tried to hide himself from the broomstick,"Tom thought that Jerry was still in the car, and Jerry would not be able to follow Tom, hence Tom could get away from Jerry.",Tom was pretending to walk away to get inside the house through another window and take the ink bottle from Jerry away.,because Tom got scared when he heard a noise and wanted to run to hide.,because Tom didn't wanted to be beaten by the broom
915,S02E01,1360,1580,Why did Tom make funny faces at Spike?,1,Tom did not want to be found and kicked out by Spike.,Tom wanted to lure Spike out of the house so that Tom could hit Spike.,Tom felt pity for Spike that Spike was restrained and Spike looked sad.,Spike was annoyed from seeing Tom inside his salad bowl and wanted to chase Tom away.,Tyke got dirty and Tom did not finish the mission Spike gave to keep Tyke clean.
1867,S03E05,4550,4842,Why did Jerry grab a glass?,1,Jerry wanted to make Tom slip and fall on the glass cups in order to get away from Tom.,The goldfish flew into the air and Jerry needed a glass of water to catch the goldfish.,Tom wanted Jerry to bring him a glass of milk,Jerry wanted to get the moving sack from the river and open the sack to check out what it contained.,Jerry wanted to keep Tom away by threatening to break the glass and getting Tom into trouble
2701,S04E07,7630,7970,Why did Butch start crying?,3,Butch was in disbelief that Tom and Jerry were getting along.,Butch thought he hit Jerry with the axe and did not know that Jerry put Tom's tail there and escaped so Butch was confused,"Jerry not only caused Butch's fingers to be crushed under the wall, Jerry also hit Butch's fingers with a hammer which hurt Butch and made Butch angry",Jerry had snatched the ham and Butch wanted Tom to chase Jerry to get the ham back.,Butch was about to finish the job of killing Jerry but Jerry escaped from Butch which made Butch angry
257,S01E07,9385,9643,Why was Tom happy?,2,Tom was delighted that he found Jerry and could catch Jerry.,Tom had the idea of turning on the switch of the turntable that Jerry was on to trap Jerry.,Tom saw Jerry dive into the bowling ball and covered the holes thinking Jerry was trapped and that Tom had caught Jerry,Tom thought of an idea to take revenge on Jerry.,Tom was delighted that Jerry let Tom peek at what was inside Jerry's hands.
1650,S02E24,1179,1619,Why did Tom yank on the lasso?,1,Jerry did not want to be caught by Tom so jerry bit Tom’s finger to hurt Tom,Jerry was stuck on a piece of cactus which made it difficult for Tom to pull the lasso around Jerry.,Jerry hit Tom's toes with a hammer which hurt Tom and made Tom in pain,Tom was surprised and did not expect to be holding a hot dog instead of Jerry.,"Tom loosened the grip of the bowling ball to catch jerry, resulting in the ball falling onto Tom's foot."
3773,S05E16,3190,3480,Why was Tom bouncing around?,2,Tom was in pain.,Tom bit on the mousetrap and got hurt so Tom jumped in pain,"Tom had fallen into a tub of hot water, causing him to burn his skin and bounce around in pain.",Tom was in pain from being electrocuted by the electricity line.,Tom was in pain from Tom's ghost chomping down on Tom's tail.
4643,S06E24,5671,5845,Why did Lightning build a wall?,1,"Tom fired the cannonball towards the painting, through Jerry's pipe, and caused the wall to explode.",Lightning wanted to protect himself behind the wall while attacking Jerry's hole.,Lightning was celebrating Jerry's win in the fight against Tom.,Lightning did not believe that Jerry became strong.,Lightning was scared of being chosen to be experimented on.
61,S01E02,4008,4185,why did jerry place the cheese back in the refrigerator?,0,Jerry knew that he had been caught stealing the cheese by Tom and wanted to put the cheese back.,Tom was chasing Jerry to get his revenge so Jerry hid in the refrigerator to avoid getting hurt by Tom,jerry was happy that he could enjoy the cheese,Jerry wanted to put his plan into action of hitting Tom on the head.,Tom was teasing jerry with the cheese since jerry cannot eat the cheese
952,S02E02,2120,2450,Why did Tom sit on the top of the fishing pole?,4,Tom wanted to trap the woodpecker so that Tom could deal with the woodpecker later.,Flappy bit Tom's tail and pulled Tom but Tom did not want to fall into the lake.,Tom could not see his path as he had hid his head to hide from Spike.,Tom wanted to get away from the shark and avoid getting eaten,Tom did not want to be found and kicked out by Spike.
4618,S06E23,6611,6829,Why did Tom start to skate?,1,Tom bit on the mousetrap and got hurt so Tom jumped in pain,St. Bernard fed Tom alcohol to revive Tom and made Tom drunk.,Tom jumped in pain as jerry poked Tom using a fork,Tom wanted to catch and inflict pain on Jerry.,Tom was in pain.
409,S01E12,3610,4230,Why did Jerry dress up as a doll?,0,Jerry wanted to disguise himself so that he can escape from Tom.,Jerry wanted to quieten Nibbles who Jerry felt was speaking too much.,Jerry wanted to be the conductor of the concert.,Jerry wanted to ask Tom to allow Jerry to do the conducting.,jerry wanted to delay Tom chopping jerry off
3274,S04E27,2645,2815,Why did Jerry jump into the charcoal?,3,Butch and Tom were going to catch Jerry and Jerry was surrounded so Jerry jumped to get out of the way and avoid getting caught,Jerry wanted to jump away from the water droplet and avoid getting wet,Jerry jumped to dodge Tom and avoid getting caught and eaten by Tom,Jerry did not want to be caught and hurt by Tom.,"Tom was chasing Jerry, so Jerry jumped down the pipe to avoid getting caught by Tom."
4854,S06E32,1238,1405,Why did Tom crash into the wall?,2,Tom was chasing Jerry and could not stop himself from sliding off the stairs into the window beside Jerry.,because Tom was chasing after jerry and jerry closed the door while Tom rushed to break the door,"Tom was running towards Jerry and Jerry dodged, causing Tom to slide and crash into the wall.",Tom wanted to give Jerry a present and a cake.,Tom wanted to ambush Jerry to trap Jerry in a vase.
622,S01E18,3225,3500,Why did Jerry smile?,2,Tom was happy that he outsmarted Jerry and could no longer be threatened by Jerry.,Jerry was satisfied with himself as Jerry outsmarted Tom and made Tom back off,Jerry was no longer in pain from the heat of the fire after landing on the cold butter.,Jerry wanted to take credit for the performance.,Jerry caused Tom to drop all the plates and get punished by Mammy Two Shoes
2560,S04E03,3150,3430,Why was Jerry tiptoeing?,1,Jerry was confused why he was standing on the pan.,Jerry did not want sleeping Tom to see Jerry and the pup.,Jerry and Tuffy were on their way to pluck a whisker from Tom without waking Tom up.,Jerry saw Tom guarding the boarding ramp and blocking Jerry from the cheese.,Jerry was being quiet while leaving the mousehole as Jerry did not want to be caught by Tom.
1220,S02E10,4425,4555,Why was Spike smiling?,2,Spike was excited to beat Tom up.,Spike and Tyke were happy that they were going on a picnic.,Spike was delighted at Tom and Jerry's kindness.,Spike found it funny that Tom got kicked out of the house.,Jerry was unable to speak and was gesturing to Spike which Spike found it funny.
3634,S05E11,7445,7560,Why did Jerry run away?,4,There was a vehicle behind Jerry and Jerry did not want to get run over by the vehicle and get hurt,Jerry wanted to run away from the projectiles so that none of them would hit Jerry and Jerry would not get hurt,because jerry did not want to get physically hurt,Tom was chasing and trying to eat Jerry so Jerry was running to avoid getting caught and eaten by Tom,Jerry was scared of Tom and did not want to be hurt by Tom.
157,S01E05,3005,3072,why did jerry stop himself from running out of the door?,0,jerry did not want to run into spike and wake spike up,Jerry was curious to find out what was happening.,Jerry wanted to stop the chase and get rid of Tom.,Jerry wanted to take revenge and inflict pain on Tom.,Jerry wanted to hurt Tom with the door and prevent Tom from chasing Jerry.
728,S01E21,2740,3135,Why did Eagle look confused?,3,Tom and Eagle were unwilling to give in to each other as they both wanted to eat Jerry.,Eagle thought Eagle was kissing Tom and not Jerry.,Eagle wanted to get rid of Tom in order to have Jerry all for himself.,Eagle did not expect Jerry to disappear from the sandwich.,Jerry wanted to escape by inflicting pain on Eagle.
981,S02E03,1620,2143,Why did Jerry jump up?,0,Jerry did not expect to see Tom after making Tom fall into the hole.,Jerry ran away as Jerry did not want to be caught by Tom.,Jerry knew that Tom was going to catch Jerry.,Jerry wanted to stop Tom from making noise.,Jerry jumped into the water to save Quacker who could not swim and was drowning.
4121,S06E05,5275,5888,why did Tom blow up the fire with his tail,1,Tom was angry that Jerry caused Toodles to be mad at Tom.,Tom wanted to use the fire to defrost his body.,"Tom had fallen from a height which caused his body to be flat, therefore Tom was fixing his body like a jack.",Tom wanted the smoke to affect the bird's flying to get the bird to fly into Tom's mouth.,Tom's body was all frozen except his tail which Tom used to push himself into the house.
4735,S06E27,8706,9085,Why did Tom stick his tongue out?,0,Tom was excited to share the bone with Jerry.,Tom did not expect to see Jerry on the piano during Tom's performance.,Tom was surprised that Tom's tail was caught in the mousetrap instead of Jerry.,Tom thought that Jerry would continue walking and walk into Tom's mouth and get eaten by Tom,Invisible Jerry and Quacker wanted to play tricks to frighten Tom.
1136,S02E07,10390,10515,Why did Tom and Butch stare at each other with their mouths open?,2,Tom and Butch were angry and wanted to join hands to get back at Jerry.,Mammy two shoes was threatening to kick out the cat who does not catch the mouse.,Tom and Butch saw each other and realised that the person they were hitting was Mammy two shoes.,Tom accidentally hit Butch on the head with a hammer and hurt Butch so Butch was angry at Tom,Tom and Butch were scared of being hit by the balls.
895,S01E25,6857,7100,Why was Butch angry at Tom?,2,Butch wanted to show off to Tom that Jerry had chosen Butch over Tom.,Butch wanted to get back at Tom for snapping Butch's mouth with a mousetrap.,Tom accidentally hit Butch on the head with a hammer and hurt Butch so Butch was angry at Tom,"Jerry not only caused Butch's fingers to be crushed under the wall, Jerry also hit Butch's fingers with a hammer which hurt Butch and made Butch angry",Butch was mad at Tom for not realising that Jerry was in the gas mask walking away
2682,S04E07,2540,3045,Why did Butch go into the bassinet?,0,Butch had a plan to enter Tom's house by pretending to be baby.,Butch did not want his disguise to be exposed to Tom.,Butch wanted to eat the ham when Tom put the ham back into the fridge.,Butch disguised himself as a baby to ask for the ham.,Butch thought he hit Jerry with the axe and did not know that Jerry put Tom's tail there and escaped so Butch was confused
298,S01E09,2178,2351,why did jerry run from meathead?,3,Jerry wanted to show affection to meathead in front of Tom to make Tom jealous.,Jerry was afraid of being caught and eaten by the young tribesman.,jerry got scared of Tom and jerry wanted to run away from Tom,jerry was afraid to be caught and eaten by meathead who is a cat.,Meathead was excited to eat Jerry as a sandwich.
3121,S04E22,3430,3860,Why did Jerry look afraid?,1,Jerry was stuck in the bubblegum and Jerry could not move so Jerry looked back to see what he was stuck in,Jerry was scared that the woodpecker would bite him.,Jerry was puzzled at Tom's friendly behaviour.,Tom was worried that jerry can hurt Tom easily now,Jerry did not expect that Jerry was sleeping on an ant army instead of in the hammock.
648,S01E19,2300,2572,Why did Jerry look back?,0,Jerry was stuck in the bubblegum and Jerry could not move so Jerry looked back to see what he was stuck in,Jerry saw the bow-tie and hat that Quacker had thrown onto the ground and wanted to look for Quacker to comfort Quacker.,Jerry was running and knocked into something so Jerry looked up to see what he knocked into,Jerry wanted to see if Tom was okay after being eaten by the shark.,Jerry wanted to double check if the glass broke since Jerry did not hear the glass breaking
478,S01E14,3765,4175,Why did Tom's eyes pop out?,2,Tom was hungry and wanted to catch and eat Jerry.,Tom did not want to watch his owner get hurt by the lion so Tom covered his eyes,Tom did not expect Jerry to be in the car.,Tom noticed Jerry came out and Tom did not want Jerry to know that Tom was already awake.,Tom was shocked that the door closed as he would be stuck outside.
4321,S06E12,5760,6012,why did Tom stand up,0,Tom saw the pot falling down and Tom wanted to catch the pot.,"The broomstick hit Tom on the butt, causing Tom to jump up in pain.",Tom blocked the air flow of the jetpack and fell down because of the gravity.,Tom caught the ball to prevent the ball from hitting Jerry but the ball was too heavy and caused Tom to fall.,"Jerry poked Tom with a rod to stop Tom spinning, resulting in Tom falling to the ground."
3227,S04E25,5313,5595,why did jerry play a record player,3,Jerry wanted to embarrass Tom if Tom could not keep up with the playing.,Jerry wanted to create an ominous atmosphere for Tom.,Jerry wanted to replace Tom who had crashed into the stage.,jerry wanted to attract the bear to dance with Tom so that Tom could not chase jerry,Jerry was annoyed at the noise made by the cats.
4778,S06E29,6271,6590,Why did Tom climb the ladder?,0,Tom wanted to get away from the water and avoid getting hurt by the shark,Tom was in pain.,because Tom wanted to catch jerry on the top of the roof,Tom was scared of Spike who was chasing Tom and climbed up the tree to get away from Spike.,Tom saw Spike and saw Tyke barking and wanted to get away from them.
1838,S03E04,4730,5480,Why did Jerry throw the newspaper aeroplane to Butch?,0,Jerry wanted Butch to be attracted to Toodles in the newspaper.,Jerry wanted Tom to inflict pain on Butch so that Jerry could run away.,Jerry wanted to send the newspaper to Butch by throwing the paper aeroplane that was made from the newspaper. ,Butch wanted to get the ham back from Jerry.,Butch wanted to inflict pain on Jerry and take the ham back.
1901,S03E06,4320,4760,Why did Muscles blow his fist?,1,Muscles wanted to make the gun useless and turn it against Tom by hammering Tom on the head.,Muscles wanted to get back at Tom for hitting Muscles.,Muscles was annoyed that he was thrown to the door by the cats.,Tom did not want to fall into the water.,Tom wanted to take revenge for the glove hitting Tom and causing pain to Tom.
286,S01E08,9971,10291,why did Tom cut off the chicken's feathers?,4,Tom wanted to find jerry in the nest while the chicken was jumping up in the air,Tom found that the roast chicken was stuck on his arm and wanted to put the chicken over his body to remove the chicken.,Tom was in pain from being pecked by the chicken and did not want to be hurt further.,The chicken wanted to protect her eggs from Tom who was chasing Jerry.,Tom accidentally cut the chicken's feathers instead of jerry
1199,S02E09,9187,9424,Why did Tom tied Jerry?,3,Tom treated Jerry as the golf ball and wanted Jerry to fall into the hole to get score,Tom wanted to play tricks on Jerry after seeing Jerry carrying the piece of cheese.,Tom caught Jerry outside the mousehole and threw Jerry back.,Tom wanted to inflict pain on Jerry by crashing Jerry with the train.,Jerry wanted to jump on Tom's head to make Tom's nose get stuck inside Jerry's dustbin.
3066,S04E20,630,1160,Why did the egg roll out of its nest?,4,mama duck kissed the egg goodbye to go for a swim,Tom threw the egg at the bull to stun the bull for a moment so Tom could run away,Tom was excited to go home quickly to cook and eat the egg.,Tom wanted to take the opportunity while the mama duck was gone to steal and eat the egg.,The baby duck was starting to hatch and started moving inside the egg.
858,S01E25,1551,1587,Why did Jerry run into the hole?,4,Jerry thought that the mouse hole Tom drew was real that Jerry ran into the wall to enter the fake hole.,A pistol ball was shot from Tom's gun which bounced off several objects to hit Jerry.,Jerry wanted to grab and eat the piece of cheese outside the mousehole.,Jerry was trying to escape Tom's chase as Jerry knew that Tom could not enter the mouse hole.,Tom was chasing Jerry so Jerry ran into the hole to hide from Tom to avoid being caught and eaten by Tom
2298,S03E19,6365,6690,Why was Mechano chasing the clockwork mice?,1,"Tom had Mechano's computer hub inside of him, programmed to catch mice.","Mechano's job was to detect, chase and catch mice.",Mechano wanted to catch and throw Jerry out of the house.,The robot mouse wanted to fly away from the robot cat who was giving chase.,Mechano wanted to stun Jerry in order to sweep Jerry up and slingshot Jerry out of the window.
2898,S04E14,1400,1600,Why was Tom throwing food out of the picnic basket?,3,The cook was pleased and wanted to praise Tom for Tom's efforts in catching Jerry.,Tom was annoyed that Jerry was chewing on a celery and disrupting Tom's date.,Tom wanted to stop Jerry from dumping more ashes onto the ground.,Tom wanted to find Jerry in the picnic basket to catch Jerry.,Tom wanted to catch and inflict pain on Jerry without getting approached by Spike.
2949,S04E15,7166,7572,why did jerry wave the cloth,3,Jerry was imitating a bull fight where Jerry was the bullfighter and Tom was the bull.,Jerry wanted Tom to start chasing Jerry.,Jerry wanted to lead Nibbles away from Tom.,because jerry wanted to trick joan that jerry was the white mouse,Jerry wanted Tom to run towards him and slip on the greasy floor
615,S01E18,1460,2345,Why was Tom smiling on the phone?,1,Tom was impressed by the flower and the kisses from jerry,Tom has a love interest for Toots so Tom was happy to be talking to Toots.,Tom was excited to carry out his plan to steal Jerry.,Tom was happy that he caught the fish and get to eat the fish,Tom was happy to have thought of an idea to get back at Jerry.
2470,S03E26,2030,2560,Why did Jerry open his door?,1,Jerry was curious to see what was happening after hearing the crashing noises.,Jerry was curious to know who was crying.,Jerry wanted Tom to run into the window.,Jerry saw that Tom was cooking the goldfish and Jerry wanted to save the goldfish.,jerry wanted Tom to open the fridge and not notice him so that Jerry could kick Tom into the fridge.
2990,S04E17,1630,2305,Why did Tuffy turn red?,2,tuffy was excited to eat the food he saw,Tuffy was scared by Tom and ran back into the house to avoid Tom.,Tuffy was shy from reading the contents of Jerry's love letter.,Tuffy heard loud noises from Tom chasing Jerry outside the door.,Tuffy was scared as Jerry showed Tuffy how a cat eats mouse and Tuffy did not want to be eaten by a cat.
1795,S03E02,9675,10115,Why did Jerry look flustered?,2,Jerry could not find Nibbles as Nibbles was sitting on Jerry's sword and hid behind Jerry.,Jerry was puzzled at Tom's friendly behaviour.,Jerry was hiding in a metal can which started moving as it was attracted to the magnet inside Tom.,Jerry realised that he could not use a hook to challenge Tom.,Jerry was angry that Tom prevented jerry from entering the ship and going on the cruise.
1445,S02E17,2215,2800,Why was Tom going up the golden escalator?,0,Tom was going to heaven as Tom died after getting hit by the piano.,Tom was running up the stairs to chase and catch Jerry,Tom was in pain from Tom's ghost chomping down on Tom's tail.,Tom was running so fast that he tripped on the stairs,"Jerry was attacking Tom with the board, causing Tom feel painful and jump up"
2744,S04E09,2745,3075,Why did Topo come out of the mouse hole?,0,Topo was annoyed that Tom was hitting pans and came out of the mousehole to scold Tom.,Topo did not want to be bullied by the dogs.,Topo was excited as he was a huge fan of Tom and Jerry cartoons.,Topo was emotional and moved by the song that he was singing.,Topo wanted to befriend Tom and Jerry.
2514,S04E01,4799,4921,why did jerry stop running,1,jerry got scared of Tom and jerry wanted to run away from Tom,Tom pushed the fences to close the gaps and clamp Jerry''s tail to catch Jerry.,Tom was attempting to smash Jerry with the broom that Jerry wanted to run away from Tom.,Jerry wanted to run away from Tom to avoid being hurt by Tom.,Jerry realised that Tom was about to chase and catch Jerry.
2214,S03E16,7610,7898,why did jerry drink the milk,1,jerry wanted to spray milk on Tom's face and run away from Tom,because jerry wanted to agitate the kittens and lure them to where Tom was.,jerry wanted the corks to fly and hit Tom,Tom wanted to hurt jerry by tricking Jerry into drinking milk with chemicals inside.,Jerry was afraid that Tom would eat Jerry.
2831,S04E11,8287,8416,why did george give a piece of cheese to jerry,1,Jerry was amused to see George scream and scratch the wall whenever Jerry scared George.,because george started to treat jerry as a pet.,Jerry wanted to put his plan into action of hitting Tom on the head.,Tom was teasing jerry with the cheese since jerry cannot eat the cheese,Jerry knew that he had been caught stealing the cheese by Tom and wanted to put the cheese back.
